YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 09 01 00  29  1.7  4.2  0.00  0.00  0.00 999 1034.5  15.9 999.0 999.0 99.0 99.00
2002 09 01 01  19  2.0  4.3  0.00  0.00  0.00 999 1034.3  15.1 999.0   9.9 99.0 99.00
2002 09 01 02  10  1.6  2.9  0.00  0.00  0.00 999 1034.2  14.9 999.0  10.9 99.0 99.00
2002 09 01 03   8  1.3  2.4  0.00  0.00  0.00 999 1033.8  14.6 999.0  11.4 99.0 99.00
2002 09 01 04   6  1.3  2.5  0.00  0.00  0.00 999 1033.5  14.3 999.0  11.6 99.0 99.00
2002 09 01 05  33  1.6  4.2  0.00  0.00  0.00 999 1032.9  14.6 999.0  11.1 99.0 99.00
2002 09 01 06  45  1.2  2.8  0.00  0.00  0.00 999 1032.5  14.5 999.0  10.8 99.0 99.00
2002 09 01 07  36  1.2  3.4  0.00  0.00  0.00 999 1032.1  14.4 999.0  10.9 99.0 99.00
2002 09 01 08  29  1.3  3.9  0.00  0.00  0.00 999 1031.5  14.4 999.0  11.3 99.0 99.00
2002 09 01 09  38  1.4  3.7  0.00  0.00  0.00 999 1030.9  14.6 999.0  11.8 99.0 99.00
2002 09 01 10  50  1.4  3.8  0.00  0.00  0.00 999 1030.8  14.7 999.0  12.2 99.0 99.00
2002 09 01 11  37  2.0  4.8  0.00  0.00  0.00 999 1031.0  14.8 999.0  12.5 99.0 99.00
2002 09 01 12  35  1.6  3.1  0.00  0.00  0.00 999 1031.1  15.4 999.0  13.0 99.0 99.00
2002 09 01 13  30  2.0  3.5  0.00  0.00  0.00 999 1031.3  16.8 999.0  13.6 99.0 99.00
2002 09 01 14  55  1.4  4.0  0.00  0.00  0.00 999 1031.0  17.9 999.0  14.1 99.0 99.00
2002 09 01 15  61  1.0  3.5  0.00  0.00  0.00 999 1031.0  18.7 999.0  14.1 99.0 99.00
2002 09 01 16  57  1.1  3.5  0.00  0.00  0.00 999 1030.3  19.3 999.0  13.8 99.0 99.00
2002 09 01 17  73  1.1  4.4  0.00  0.00  0.00 999 1029.7  19.7 999.0  13.6 99.0 99.00
2002 09 01 18  68  1.2  4.1  0.00  0.00  0.00 999 1029.4  20.1 999.0  13.2 99.0 99.00
2002 09 01 19  95  1.6  4.4  0.00  0.00  0.00 999 1028.8  19.7 999.0  13.3 99.0 99.00
2002 09 01 20  74  0.8  2.7  0.00  0.00  0.00 999 1028.0  19.6 999.0  13.8 99.0 99.00
2002 09 01 21  69  1.0  3.3  0.00  0.00  0.00 999 1027.2  19.4 999.0  13.9 99.0 99.00
2002 09 01 22  72  1.1  3.1  0.00  0.00  0.00 999 1026.8  19.0 999.0  13.4 99.0 99.00
2002 09 01 23  70  0.8  3.5  0.00  0.00  0.00 999 1026.6  18.5 999.0  13.5 99.0 99.00
2002 09 02 00  25  0.7  1.7  0.00  0.00  0.00 999 1026.8  18.1 999.0  14.0 99.0 99.00
2002 09 02 01  25  1.2  2.4  0.00  0.00  0.00 999 1026.6  17.7 999.0  14.2 99.0 99.00
2002 09 02 02  31  0.8  2.1  0.00  0.00  0.00 999 1026.0  17.4 999.0  13.8 99.0 99.00
2002 09 02 03  14  1.2  2.3  0.00  0.00  0.00 999 1025.1  17.0 999.0  14.0 99.0 99.00
2002 09 02 04   2  1.9  3.1  0.00  0.00  0.00 999 1024.8  17.1 999.0  14.5 99.0 99.00
2002 09 02 05  14  1.5  3.3  0.00  0.00  0.00 999 1024.0  16.8 999.0  14.4 99.0 99.00
2002 09 02 06  16  1.5  3.2  0.00  0.00  0.00 999 1023.2  17.1 999.0  14.9 99.0 99.00
2002 09 02 07   6  1.3  2.6  0.00  0.00  0.00 999 1022.4  17.3 999.0  15.1 99.0 99.00
2002 09 02 08  28  1.0  2.8  0.00  0.00  0.00 999 1021.8  17.2 999.0  15.6 99.0 99.00
2002 09 02 09  29  1.7  3.6  0.00  0.00  0.00 999 1021.4  16.9 999.0  15.9 99.0 99.00
2002 09 02 10  27  1.6  3.0  0.00  0.00  0.00 999 1021.8  17.0 999.0  16.2 99.0 99.00
2002 09 02 11  38  1.3  3.5  0.00  0.00  0.00 999 1021.4  17.2 999.0  16.5 99.0 99.00
2002 09 02 12  38  1.4  3.2  0.00  0.00  0.00 999 1021.6  17.4 999.0  16.8 99.0 99.00
2002 09 02 13  12  1.4  2.6  0.00  0.00  0.00 999 1021.2  17.9 999.0  16.9 99.0 99.00
2002 09 02 14  26  1.6  2.9  0.00  0.00  0.00 999 1020.8  18.5 999.0  17.6 99.0 99.00
2002 09 02 15  66  0.7  2.1  0.00  0.00  0.00 999 1020.7  19.1 999.0  18.3 99.0 99.00
2002 09 02 16  43  1.3  3.0  0.00  0.00  0.00 999 1019.7  19.9 999.0  18.6 99.0 99.00
2002 09 02 17  55  1.0  3.1  0.00  0.00  0.00 999 1019.3  20.0 999.0  18.9 99.0 99.00
2002 09 02 18  59  1.3  4.3  0.00  0.00  0.00 999 1018.5  20.4 999.0  19.3 99.0 99.00
2002 09 02 19  55  1.3  3.2  0.00  0.00  0.00 999 1017.6  20.0 999.0  19.1 99.0 99.00
2002 09 02 20  43  1.7  4.0  0.00  0.00  0.00 999 1016.9  19.9 999.0  18.8 99.0 99.00
2002 09 02 21  36  1.4  2.7  0.00  0.00  0.00 999 1016.3  19.5 999.0  18.9 99.0 99.00
2002 09 02 22  21  2.5  4.1  0.00  0.00  0.00 999 1015.7  19.6 999.0  18.9 99.0 99.00
2002 09 02 23  19  2.6  4.8  0.00  0.00  0.00 999 1015.4  19.3 999.0  18.9 99.0 99.00
2002 09 03 00  14  2.8  4.1  0.00  0.00  0.00 999 1015.3  19.2 999.0  19.0 99.0 99.00
2002 09 03 01  25  3.1  5.1  0.00  0.00  0.00 999 1015.2  19.3 999.0  18.8 99.0 99.00
2002 09 03 02  16  3.6  6.6  0.00  0.00  0.00 999 1014.2  19.1 999.0  18.8 99.0 99.00
2002 09 03 03  26  3.6  6.9  0.00  0.00  0.00 999 1014.0  19.2 999.0  18.9 99.0 99.00
2002 09 03 04  11  1.9  3.4  0.00  0.00  0.00 999 1013.3  19.4 999.0  19.1 99.0 99.00
2002 09 03 05  11  1.7  3.5  0.00  0.00  0.00 999 1012.9  19.5 999.0  19.3 99.0 99.00
2002 09 03 06   3  1.7  2.9  0.00  0.00  0.00 999 1012.7  19.4 999.0  19.3 99.0 99.00
2002 09 03 07 355  2.6  4.0  0.00  0.00  0.00 999 1012.3  19.5 999.0  19.4 99.0 99.00
2002 09 03 08 349  2.6  4.4  0.00  0.00  0.00 999 1012.4  19.4 999.0  19.4 99.0 99.00
2002 09 03 09 345  3.0  4.7  0.00  0.00  0.00 999 1012.6  19.3 999.0  19.2 99.0 99.00
2002 09 03 10 347  3.3  5.5  0.00  0.00  0.00 999 1012.9  19.2 999.0  19.1 99.0 99.00
2002 09 03 11 345  3.3  5.0  0.16 23.53 21.88 999 1013.3  19.1 999.0  18.9 99.0 99.00
2002 09 03 12 343  3.5  5.8  0.00  0.00  0.00 999 1013.2  19.0 999.0  18.7 99.0 99.00
2002 09 03 13 279  0.5  2.9 99.00 99.00 99.00 999 1013.3  19.0 999.0  18.6 99.0 99.00
2002 09 03 14 215  0.9  2.1 99.00 99.00 99.00 999 1014.0  19.1 999.0  18.5 99.0 99.00
2002 09 03 15 265  4.8  5.7 99.00 99.00 99.00 999 1014.3  19.0 999.0  18.3 99.0 99.00
2002 09 03 16 266  5.7  7.2 99.00 99.00 99.00 999 1014.8  19.5 999.0  18.5 99.0 99.00
2002 09 03 17 273  1.1  3.0 99.00 99.00 99.00 999 1014.7  20.4 999.0  18.7 99.0 99.00
2002 09 03 18 221  0.5  1.5 99.00 99.00 99.00 999 1014.6  21.6 999.0  18.8 99.0 99.00
2002 09 03 19 278  2.5  3.6  1.22  7.69  5.92 999 1014.7  20.4  20.4  18.7 99.0 99.00
2002 09 03 20 254  2.2  2.8  1.22  9.09  6.47 999 1014.5  20.6  20.4  19.4 99.0 99.00
2002 09 03 21 239  3.2  4.1  1.24  9.09  6.71 999 1014.0  20.8  20.4  19.3 99.0 99.00
2002 09 03 22 231  3.5  4.2  1.34  7.69  6.43 999 1014.0  21.0  20.5  19.5 99.0 99.00
2002 09 03 23 249  2.6  3.2  1.21  8.33  6.07 999 1014.2  20.9  20.4  19.7 99.0 99.00
2002 09 04 00 240  3.4  4.7  1.28  7.69  6.11 999 1015.1  20.9  20.3  19.5 99.0 99.00
2002 09 04 01 227  4.4  5.4  1.23  8.33  6.23 999 1015.3  20.9  20.3  19.8 99.0 99.00
2002 09 04 02 221  4.5  5.5  1.09  8.33  5.81 999 1015.0  20.9  20.2  19.8 99.0 99.00
2002 09 04 03 218  5.0  5.9  1.19  8.33  5.93 999 1014.9  20.9  20.0  20.0 99.0 99.00
2002 09 04 04 215  5.3  6.2  1.13  7.69  5.70 999 1014.5  20.9  20.1  20.0 99.0 99.00
2002 09 04 05 207  5.7  6.5  1.17  7.69  5.76 999 1014.4  21.0  20.0  20.1 99.0 99.00
2002 09 04 06 203  5.0  5.7  1.07  9.09  5.80 999 1014.3  20.9  19.9  20.2 99.0 99.00
2002 09 04 07 192  4.5  5.4  1.03  9.09  5.53 999 1013.8  21.0  19.9  20.5 99.0 99.00
