YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 223 11.0 13.3  1.27  5.00  4.02 999 1018.9   7.2 999.0   2.1 99.0 99.00
2004 01 01 01 218 11.9 15.2  1.54  5.26  4.30 999 1017.9   7.5   8.1   2.7 99.0 99.00
2004 01 01 02 230 13.1 15.8  1.87  5.56  4.49 999 1017.5   7.7   8.2   2.5 99.0 99.00
2004 01 01 03 233 12.6 16.1  2.42  5.88  4.93 999 1017.2   7.8   8.2   3.0 99.0 99.00
2004 01 01 04 239 14.0 17.0  2.55  6.25  5.23 999 1016.3   8.1   8.3   3.2 99.0 99.00
2004 01 01 05 250 14.2 17.8  3.01  7.14  5.62 999 1015.6   8.1   8.3   3.1 99.0 99.00
2004 01 01 06 263 12.6 15.7  2.93  7.14  5.67 999 1016.2   8.0   8.4   2.9 99.0 99.00
2004 01 01 07 267 12.1 14.3  2.90  7.69  5.59 999 1016.8   8.0   8.4   2.2 99.0 99.00
2004 01 01 08 279 12.2 14.7  2.57  7.69  5.44 999 1017.7   7.9   8.4   0.6 99.0 99.00
2004 01 01 09 281 11.6 14.0  2.41  7.69  5.35 999 1018.8   7.6   8.5   0.4 99.0 99.00
2004 01 01 10 289 10.3 12.6  2.30  7.69  5.44 999 1019.9   7.2   8.5  -0.2 99.0 99.00
2004 01 01 11 306  8.3  9.8  1.98  7.14  5.09 999 1021.2   6.6   8.5  -0.8 99.0 99.00
2004 01 01 12 311  8.0  9.8  1.83  7.14  5.24 999 1022.5   6.2   8.5  -2.5 99.0 99.00
2004 01 01 13 331  7.6  9.2  1.71  7.14  5.12 999 1023.4   5.3   8.5  -1.9 99.0 99.00
2004 01 01 15 319  7.7  9.4  1.46  7.14  4.63 999 1025.7   5.3   8.6  -3.1 99.0 99.00
2004 01 01 16 288  7.2  8.4  1.25  7.14  4.58 999 1025.4   5.2   8.6  -2.3 99.0 99.00
2004 01 01 17 300 11.2 13.5  1.29  6.67  4.46 999 1024.0   5.5   8.6  -2.9 99.0 99.00
2004 01 01 18 307 10.3 12.2  1.27  5.88  4.20 999 1024.1   5.2   8.7  -2.8 99.0 99.00
2004 01 01 19 310  9.1 11.3  1.21  6.67  4.17 999 1023.2   5.3   8.7  -2.4 99.0 99.00
2004 01 01 20 305  7.7  9.8  1.09  6.67  4.06 999 1024.1   5.6   8.7  -2.6 99.0 99.00
2004 01 01 21 290  6.7  8.1  0.94  6.67  4.05 999 1024.6   5.9   8.7  -2.8 99.0 99.00
2004 01 01 22 285  7.1  8.4  0.84  6.67  3.88 999 1025.2   6.4   8.7  -2.8 99.0 99.00
2004 01 01 23 285  7.0  8.5  0.82  5.88  3.95 999 1025.7   6.6   8.7  -2.4 99.0 99.00
2004 01 02 00 284  6.8  7.9  0.80  6.67  3.94 999 1026.2   6.7   8.7  -1.8 99.0 99.00
2004 01 02 01 297  6.5  7.9  0.87  6.25  3.85 999 1026.5   6.6   8.6  -1.3 99.0 99.00
2004 01 02 02 339  3.8  4.9  0.85  6.25  4.02 999 1026.5   5.9   8.6  -1.3 99.0 99.00
2004 01 02 03 347  3.8  4.6  0.76  4.17  4.12 999 1027.1   5.6   8.6  -2.0 99.0 99.00
2004 01 02 04 340  6.4  7.2  0.69  4.35  4.14 999 1026.4   5.4   8.6  -1.5 99.0 99.00
2004 01 02 05 360  5.9  7.0  0.66  6.25  3.81 999 1025.7   5.0   8.6  -2.0 99.0 99.00
2004 01 02 06   3  3.9  5.6  0.61  6.67  3.61 999 1026.2   4.9   8.6  -1.5 99.0 99.00
2004 01 02 07   5  2.3  3.2  0.55  6.67  3.71 999 1026.5   4.7   8.6  -2.1 99.0 99.00
2004 01 02 08  17  1.7  2.8  0.57  5.88  3.78 999 1025.9   4.6   8.6  -1.9 99.0 99.00
2004 01 02 09  92  2.1  3.1  0.50  5.88  4.05 999 1025.1   4.8   8.5  -1.6 99.0 99.00
2004 01 02 10  80  2.8  3.5  0.46  5.88  4.19 999 1024.1   4.8   8.5  -1.2 99.0 99.00
2004 01 02 11 129  4.1  5.1  0.41  5.56  4.44 999 1023.7   5.4   8.5  -0.1 99.0 99.00
2004 01 02 12 172  4.6  6.0  0.35  5.56  4.35 999 1024.4   6.4   8.6   0.8 99.0 99.00
2004 01 02 13 201  5.0  5.9  0.37  5.56  3.94 999 1023.8   7.3   8.5  -0.2 99.0 99.00
2004 01 02 14 195  4.6  5.4  0.42  5.88  3.64 999 1023.6   7.8   8.6   1.1 99.0 99.00
2004 01 02 15 186  5.3  6.3  0.47  2.86  3.40 999 1023.4   8.4   8.6   1.6 99.0 99.00
2004 01 02 16 185  6.5  7.8  0.53  3.13  3.34 999 1022.4   8.8   8.6   3.1 99.0 99.00
2004 01 02 17 183  7.5  8.6  0.68  3.57  3.45 999 1020.5   9.0   8.6   4.6 99.0 99.00
2004 01 02 18 194  6.4  7.7  0.75  3.85  3.64 999 1019.8   9.1   8.6   4.8 99.0 99.00
2004 01 02 19 196  5.6  6.5  0.83  4.55  3.84 999 1019.3   9.3   8.6   5.8 99.0 99.00
2004 01 02 20 193  6.5  7.5  0.96  4.55  3.88 999 1018.7   9.5   8.6   6.4 99.0 99.00
2004 01 02 21 239  6.4  7.8  1.06  5.00  4.15 999 1018.9   9.1   8.6   6.5 99.0 99.00
2004 01 02 22 240  5.3  6.4  0.95  5.26  4.07 999 1019.0   8.5   8.6   6.3 99.0 99.00
2004 01 02 23 248  4.8  5.5  1.07  5.88  4.44 999 1019.5   8.3   8.6   6.2 99.0 99.00
2004 01 03 00 250  3.3  3.7  0.96  5.88  4.40 999 1019.2   8.1   8.5   6.3 99.0 99.00
2004 01 03 01 272  4.4  5.2  0.90  5.56  4.43 999 1019.8   8.1   8.5   5.7 99.0 99.00
2004 01 03 02 266  3.6  4.3  0.84  5.56  4.50 999 1020.1   8.1   8.5   5.5 99.0 99.00
2004 01 03 03 283  2.9  3.5  0.78  5.26  4.46 999 1020.2   8.1   8.5   5.3 99.0 99.00
2004 01 03 04 346  5.3  6.0  0.78  5.56  4.51 999 1019.8   7.1   8.5   5.4 99.0 99.00
2004 01 03 05 356  4.4  5.2  0.66  5.00  4.36 999 1020.5   6.6   8.4   5.5 99.0 99.00
2004 01 03 06  24  4.2  4.8  0.59  5.00  4.34 999 1020.0   6.4   8.3   5.2 99.0 99.00
2004 01 03 07  36  4.8  5.6  0.62  5.00  4.35 999 1019.9   6.1   8.3   4.8 99.0 99.00
2004 01 03 08  66  4.0  5.1  0.67  5.56  4.14 999 1019.4   5.9   8.2   4.9 99.0 99.00
2004 01 03 09  84  4.8  5.5  0.65  5.26  4.15 999 1018.3   6.2   8.3   5.1 99.0 99.00
2004 01 03 10 109  3.7  4.5  0.64  5.00  4.24 999 1017.9   6.8   8.3   5.8 99.0 99.00
2004 01 03 11 126  3.6  4.3  0.66  5.26  4.25 999 1017.6   7.6   8.3   6.3 99.0 99.00
2004 01 03 12 170  4.1  4.7  0.64  5.26  4.23 999 1017.5   8.3   8.4   6.5 99.0 99.00
2004 01 03 13 175  6.0  7.4  0.59  5.00  4.05 999 1016.9   8.7   8.4   6.9 99.0 99.00
2004 01 03 14 180  6.1  7.5  0.62  5.26  3.61 999 1016.8   9.0   8.4   7.4 99.0 99.00
2004 01 03 15 174  8.6 10.2  0.74  5.26  3.58 999 1015.0   9.2   8.5   7.8 99.0 99.00
2004 01 03 16 203  5.0  5.7  0.78  3.57  3.73 999 1015.7   9.5   8.4   8.4 99.0 99.00
2004 01 03 17 195  5.4  6.2  0.72  4.17  3.77 999 1013.8   9.6   8.5   8.5 99.0 99.00
2004 01 03 18 219  7.1  8.3  0.79  4.35  3.80 999 1013.0   9.9   8.4   8.4 99.0 99.00
2004 01 03 19 229  6.8  8.3  0.83  4.55  3.83 999 1012.8   9.5   8.4   7.5 99.0 99.00
2004 01 03 20 221  7.1  8.3  0.92  4.55  3.87 999 1012.2   9.1   8.4   7.3 99.0 99.00
2004 01 03 21 227  6.4  7.5  0.98  5.00  3.99 999 1012.7   9.0   8.3   7.2 99.0 99.00
2004 01 03 22 219  5.7  6.5  1.00  4.76  4.19 999 1012.7   8.9   8.3   7.2 99.0 99.00
2004 01 03 23 221  5.4  6.5  0.97  5.00  4.21 999 1012.6   8.9   8.3   7.3 99.0 99.00
2004 01 04 00 228  4.9  5.6  0.92  5.26  4.26 999 1012.9   9.0   8.2   7.4 99.0 99.00
2004 01 04 01 215  6.5  7.2  0.90  4.76  4.21 999 1012.6   9.2   8.2   7.6 99.0 99.00
2004 01 04 02 224  6.9  8.0  0.94  5.56  4.22 999 1012.7   9.4   8.2   7.7 99.0 99.00
2004 01 04 03 222  7.0  8.4  0.98  5.88  4.27 999 1012.8   9.4   8.2   7.6 99.0 99.00
2004 01 04 04 216  5.9  6.9  0.94  5.56  4.34 999 1012.1   9.5   8.2   7.8 99.0 99.00
2004 01 04 05 205  6.4  7.1  0.93  6.25  4.36 999 1011.4   9.5   8.2   7.9 99.0 99.00
2004 01 04 06 207  6.6  7.3  0.95  5.56  4.41 999 1010.8   9.6   8.2   8.1 99.0 99.00
2004 01 04 07 207  6.4  7.3  0.98  6.67  4.36 999 1010.7   9.6   8.3   8.1 99.0 99.00
2004 01 04 08 224  5.1  5.9  1.00  5.56  4.36 999 1010.9   9.5   8.3   8.1 99.0 99.00
2004 01 04 09 280  3.1  3.8  1.03  6.25  4.52 999 1011.1   9.1   8.3   7.9 99.0 99.00
2004 01 04 10 236  3.3  3.6  0.98  5.88  4.62 999 1011.0   8.8   8.2   7.5 99.0 99.00
2004 01 04 11 223  3.5  3.9  1.00  5.88  4.59 999 1011.1   8.9   8.2   7.7 99.0 99.00
2004 01 04 12 264  3.8  4.7  0.92  5.88  4.56 999 1011.6   9.3   8.2   7.9 99.0 99.00
2004 01 04 13 287  3.2  3.7  0.89  6.25  4.50 999 1012.4   8.8   8.1   7.6 99.0 99.00
2004 01 04 14 296  2.5  3.0  0.85  6.25  4.66 999 1013.1   8.7   8.1   7.5 99.0 99.00
2004 01 04 15 328  2.9  3.5  0.87  5.88  4.70 999 1013.9   8.9   8.1   7.2 99.0 99.00
2004 01 04 16 346  4.3  5.0  0.85  6.25  4.91 999 1013.9   8.8   8.1   6.3 99.0 99.00
2004 01 04 17   9  3.1  4.0  0.77  6.25  5.06 999 1012.9   8.5   8.1   6.5 99.0 99.00
