YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 202  6.9  8.2  0.92  4.55  4.18 999 1025.1   9.9   8.3   7.8 99.0 99.00
2005 01 01 01 00 204  8.0  9.1  1.02  4.76  4.06 999 1024.6  10.1   8.3   7.6 99.0 99.00
2005 01 01 02 00 205  8.5 10.0  1.19  5.26  4.15 999 1024.4  10.1   8.3   6.9 99.0 99.00
2005 01 01 03 00 214  9.1 10.5  1.29  5.26  4.19 999 1024.0  10.3   8.3   6.9 99.0 99.00
2005 01 01 04 00 223  9.4 11.5  1.39  4.17  4.15 999 1023.7  10.2   8.3   7.2 99.0 99.00
2005 01 01 05 00 229 10.0 12.2  1.52  4.55  4.28 999 1023.2  10.2   8.4   7.4 99.0 99.00
2005 01 01 06 00 235  9.4 10.9  1.45  5.26  4.26 999 1022.7  10.1   8.4   7.8 99.0 99.00
2005 01 01 07 00 234  8.5 10.4  1.48  5.00  4.44 999 1022.3  10.0   8.4   7.9 99.0 99.00
2005 01 01 08 00 232  8.6 10.5  1.66  5.56  4.54 999 1021.8   9.9   8.5   7.9 99.0 99.00
2005 01 01 09 00 242  7.9  9.7  1.58  5.56  4.60 999 1021.9   9.9   8.5   7.7 99.0 99.00
2005 01 01 10 00 239  7.2  8.4 99.00 99.00 99.00 999 1021.6   9.5   8.5   7.7 99.0 99.00
2005 01 01 11 00 242  8.0  9.4  1.64  5.88  4.80 999 1021.6   9.6   8.5   7.5 99.0 99.00
2005 01 01 12 00 245  7.0  8.6  1.58  5.88  4.82 999 1022.4   9.6   8.5   7.7 99.0 99.00
2005 01 01 13 00 246  7.9  9.8  1.50  5.88  4.60 999 1022.4  10.2   8.5   7.9 99.0 99.00
2005 01 01 14 00 245  7.6  8.8  1.48  5.56  4.57 999 1023.4  10.1   8.5   8.1 99.0 99.00
2005 01 01 15 00 247  9.1 10.6  1.52  5.56  4.39 999 1023.8  10.0   8.5   7.7 99.0 99.00
2005 01 01 16 00 254  9.6 12.0  1.45  5.88  4.34 999 1023.8   9.8   8.6   7.6 99.0 99.00
2005 01 01 17 00 250  9.2 10.7  1.37  5.88  4.22 999 1023.4   9.8   8.6   7.8 99.0 99.00
2005 01 01 18 00 275  7.4  8.5  1.30  5.26  4.22 999 1024.2   9.6   8.6   7.7 99.0 99.00
2005 01 01 19 00 289  6.3  7.4  1.31  5.88  4.47 999 1024.3   9.9   8.6   7.2 99.0 99.00
2005 01 01 20 00 307  6.2  7.5  1.22  5.56  4.56 999 1025.2  10.3   8.6   5.9 99.0 99.00
2005 01 01 21 00 314  5.7  6.4  1.01  5.56  4.56 999 1026.5   9.8   8.6   5.5 99.0 99.00
