#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 198  2.4  3.2  0.30  7.14  4.59 999 1029.6   5.0  10.4  -2.1 99.0 99.00
2007 01 01 01 00 218  2.8  4.2  0.31  5.88  4.85 999 1029.1   5.4  10.4  -1.1 99.0 99.00
2007 01 01 02 00 201  3.7  4.8  0.28  8.33  4.86 999 1028.8   6.0  10.4   0.0 99.0 99.00
2007 01 01 03 00 187  4.0  5.2  0.30  7.69  4.55 999 1028.3   6.3  10.4   0.7 99.0 99.00
2007 01 01 04 00 158  5.2  6.7  0.34  8.33  3.87 999 1027.3   6.7  10.5   1.5 99.0 99.00
2007 01 01 05 00 147  6.8  7.7  0.39  7.14  3.14 999 1025.7   6.8  10.5   1.7 99.0 99.00
2007 01 01 06 00 153  6.7  8.3  0.49  2.86  3.11 999 1025.2   7.4  10.5   1.9 99.0 99.00
2007 01 01 07 00 163  8.3 10.0  0.61  3.13  3.13 999 1024.7   8.0  10.5   3.6 99.0 99.00
2007 01 01 08 00 169  8.5  9.9  0.81  3.70  3.40 999 1023.6   8.9  10.5   4.9 99.0 99.00
2007 01 01 09 00 173  9.1 11.0  0.98  4.00  3.64 999 1022.7   9.7  10.5   6.4 99.0 99.00
2007 01 01 10 00 165 10.3 12.3  1.29  4.55  4.04 999 1020.6  10.1  10.5   6.3 99.0 99.00
2007 01 01 11 00 167  9.2 11.4  1.41  5.00  4.17 999 1020.1  10.4  10.5   7.9 99.0 99.00
2007 01 01 12 00 158  9.5 11.9  1.66  5.26  4.51 999 1019.3  10.4  10.5   8.9 99.0 99.00
2007 01 01 13 00 156 11.6 13.9  1.83  5.56  4.76 999 1018.0  10.7  10.5   9.2 99.0 99.00
2007 01 01 14 00 159 11.6 13.6  2.06  5.88  4.88 999 1017.1  11.4  10.5  10.1 99.0 99.00
2007 01 01 15 00 172 10.5 12.8 99.00 99.00 99.00 999 1015.8  12.3  10.5  10.8 99.0 99.00
2007 01 01 16 00 182 11.4 14.2  2.35  6.25  5.30 999 1014.3  12.5  10.5  10.9 99.0 99.00
2007 01 01 17 00 180 13.2 15.5  2.77  6.67  5.57 999 1011.9  12.5  10.5  11.2 99.0 99.00
2007 01 01 18 00 183 14.2 17.1  2.86  7.14  5.80 999 1010.2  12.8  10.5  11.5 99.0 99.00
2007 01 01 19 00 191 12.6 16.0  2.98  7.14  5.89 999 1009.7  13.1  10.5  11.9 99.0 99.00
2007 01 01 20 00 194 11.7 14.3  3.01  7.14  5.81 999 1008.8  13.3  10.6  12.2 99.0 99.00
2007 01 01 21 00 165  9.4 10.9  3.55  7.69  6.31 999 1008.2  12.6  10.6  12.0 99.0 99.00
2007 01 01 22 00 183  6.2  7.3  2.75  8.33  5.92 999 1007.5  12.7  10.6  12.1 99.0 99.00
2007 01 01 23 00 209  5.7  6.9  2.38  7.69  5.65 999 1007.1  12.5  10.6  12.0 99.0 99.00
2007 01 02 00 00 193  6.7  8.4  2.19  7.69  5.82 999 1006.4  12.5  10.6  11.9 99.0 99.00
2007 01 02 01 00 199  7.6  9.6  2.33  8.33  5.79 999 1005.2  12.3  10.6  11.7 99.0 99.00
2007 01 02 02 00 224  4.2  5.5  2.33  8.33  6.08 999 1005.4  11.7  10.6  11.2 99.0 99.00
2007 01 02 03 00 220  3.4  5.0  2.08  7.69  5.91 999 1003.3  11.7  10.6  11.3 99.0 99.00
2007 01 02 04 00 277  5.5  6.8  2.28  8.33  6.24 999 1004.1  11.3  10.6  10.9 99.0 99.00
2007 01 02 05 00 307 10.0 12.2  2.40  8.33  6.15 999 1004.6  10.5  10.6   9.4 99.0 99.00
2007 01 02 06 00 305  7.9 10.0  2.25  8.33  6.09 999 1005.2  10.2  10.5   8.7 99.0 99.00
2007 01 02 07 00 304  9.4 11.6  2.28  8.33  6.09 999 1006.3   9.3  10.5   6.2 99.0 99.00
2007 01 02 08 00 299 10.5 12.8  2.09  8.33  5.60 999 1007.2   9.6  10.5   5.5 99.0 99.00
2007 01 02 09 00 297  9.9 11.8  2.03  8.33  5.81 999 1007.5   9.4  10.5   5.4 99.0 99.00
2007 01 02 10 00 287  9.5 11.8  1.84  8.33  5.39 999 1008.3   9.4  10.5   6.1 99.0 99.00
2007 01 02 11 00 283 13.1 15.1  2.05  8.33  5.17 999 1009.1   9.0  10.5   4.5 99.0 99.00
2007 01 02 12 00 287 12.9 15.4  2.08  9.09  5.17 999 1010.7   8.7  10.5   3.5 99.0 99.00
