#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 02 22 23 50  41  9.5 11.4  1.51  5.56  4.54 999 1038.1   2.9   5.6   0.2 99.0 99.00
2018 02 23 00 50  46 10.3 12.3  1.59  5.56  4.69 999 1037.2   2.8   5.7   0.6 99.0 99.00
2018 02 23 01 50  56  8.6 10.4  1.64  5.26  4.79 999 1037.1   2.7   5.7   0.4 99.0 99.00
2018 02 23 02 50  52  8.1  9.3  1.49  5.56  4.55 999 1037.7   2.9   5.8   0.2 99.0 99.00
2018 02 23 03 50  51  7.8  9.3  1.45  6.25  4.63 999 1038.0   3.1   5.8   0.6 99.0 99.00
2018 02 23 04 50  34  8.1  9.3  1.37  6.25  4.68 999 1038.5   3.1   5.8   1.1 99.0 99.00
2018 02 23 05 50  38  7.7  9.3  1.46  5.88  4.79 999 1038.5   3.1   5.9   1.1 99.0 99.00
2018 02 23 06 50  23  8.2  9.6  1.53  6.25  4.93 999 1038.5   2.8   5.9   1.0 99.0 99.00
2018 02 23 07 50  46  7.6  9.1  1.46  5.56  4.84 999 1038.2   2.9   5.9   0.7 99.0 99.00
2018 02 23 08 50  57  7.7  9.5  1.42  5.88  4.80 999 1037.6   3.0   5.9   0.8 99.0 99.00
2018 02 23 09 50  58  7.5  8.8  1.36  5.56  4.67 999 1038.0   3.2   5.9   0.7 99.0 99.00
2018 02 23 10 50  61  7.1  8.1  1.35  6.25  4.89 999 1038.6   3.3   5.9   0.8 99.0 99.00
2018 02 23 11 50  61  7.7  9.0  1.29  6.67  4.62 999 1037.7   3.3   5.8   0.8 99.0 99.00
2018 02 23 12 50  63  7.4  8.8  1.26  5.88  4.58 999 1038.5   3.5   5.8   0.8 99.0 99.00
2018 02 23 13 50  60  8.8 10.9  1.35  5.26  4.43 999 1037.6   3.5   5.8   0.6 99.0 99.00
2018 02 23 14 50  93  8.9 11.0  1.35  5.56  4.44 999 1036.7   4.3   5.8   1.0 99.0 99.00
