#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 03 10 13 50  47  4.9  6.8 99.00 99.00 99.00 999 1028.4   3.1   3.2  -0.9 99.0 99.00
2009 03 10 14 50  59  3.8  4.7 99.00 99.00 99.00 999 1028.0   3.2   2.8  -0.5 99.0 99.00
2009 03 10 15 50  29  2.5  2.9  0.61  6.25  4.18  93 1028.6   3.2   2.9   0.4 99.0 99.00
2009 03 10 16 50  34  2.6  3.6  0.68  4.00  4.16  85 1029.3   3.4   3.1   0.7 99.0 99.00
2009 03 10 17 50  67  3.0  3.5 99.00 99.00 99.00 999 1029.3   3.8   3.3  -0.4 99.0 99.00
2009 03 10 18 50  82  3.9  4.7  0.52  5.56  4.45  85 1029.1   3.7   3.6  -0.7 99.0 99.00
2009 03 10 19 50  85  4.5  5.2  0.44  4.00  4.35 260 1029.1   3.5   3.7  -0.1 99.0 99.00
2009 03 10 20 50  87  5.8  7.1 99.00 99.00 99.00 999 1028.5   3.4   3.7   0.0 99.0 99.00
2009 03 10 21 50  92  5.5  6.3 99.00 99.00 99.00 999 1028.3   3.3   3.7  -0.2 99.0 99.00
2009 03 10 22 50 101  5.2  6.5  0.37  5.00  3.71  88 1028.4   3.3   3.6   0.2 99.0 99.00
2009 03 10 23 50 122  3.2  4.0  0.32  4.76  3.72  89 1029.2   3.3   3.4   0.4 99.0 99.00
2009 03 11 00 50 138  2.4  2.9  0.28  5.00  3.68  95 1029.1   3.1   3.1   0.9 99.0 99.00
2009 03 11 01 50 132  2.3  3.2  0.27  4.55  3.87  50 1028.8   2.9   2.9   0.9 99.0 99.00
2009 03 11 02 50 142  3.7  4.3  0.33  7.69  4.52  95 1028.4   2.9   2.8   1.1 99.0 99.00
2009 03 11 03 50 133  5.9  7.3  0.53  8.33  4.70  73 1027.1   2.9   2.8   1.1 99.0 99.00
2009 03 11 04 50 153  4.7  5.5  0.66  7.14  3.73  81 1027.7   3.1   2.9   1.1 99.0 99.00
2009 03 11 05 50 156  5.0  5.7  0.64  4.76  3.77  67 1027.4   3.1   3.0   1.3 99.0 99.00
2009 03 11 06 50 135  5.1  5.8  0.54  7.14  3.64  76 1026.6   3.1   3.4   1.5 99.0 99.00
2009 03 11 07 50 146  4.8  5.6  0.45  4.76  3.84  76 1026.2   3.2   3.5   1.4 99.0 99.00
2009 03 11 08 50 135  6.1  7.2  0.41  4.76  3.65  82 1024.8   3.3   3.5   1.6 99.0 99.00
2009 03 11 09 50 130  5.5  6.4  0.39  5.26  3.37  92 1024.6   3.6   3.5   2.1 99.0 99.00
2009 03 11 10 50 135  6.3  7.7  0.38  2.86  3.25 121 1024.1   3.9   3.5   2.5 99.0 99.00
2009 03 11 11 50 146  7.7  9.3  0.43  3.33  3.36 109 1022.9   4.3   3.4   2.9 99.0 99.00
2009 03 11 12 50 150  9.6 11.1  0.59  3.57  3.44 124 1021.3   4.8   3.1   3.1 99.0 99.00
2009 03 11 13 50 154  8.9 10.2  0.66  3.85  3.51 135 1020.6   5.2   2.8   3.6 99.0 99.00
2009 03 11 14 50 153  8.0  9.2  0.77  4.17  3.70 132 1019.3   5.3   2.8   4.0 99.0 99.00
2009 03 11 15 50 173 10.9 13.2  0.94  3.85  3.69 133 1017.9   6.4   2.8   4.8 99.0 99.00
2009 03 11 16 50 172 12.2 14.7  1.18  4.00  3.78 150 1016.2   6.7   2.8   6.1 99.0 99.00
2009 03 11 17 50 172 12.4 14.1  1.16  4.17  3.79 171 1014.5   7.1   2.9   6.3 99.0 99.00
2009 03 11 18 50 179 11.7 14.0  1.15  4.17  3.70 162 1013.6   6.8   3.3   6.6 99.0 99.00
2009 03 11 19 50 180 12.3 14.8  0.99  4.35  3.67 159 1012.6   7.0   3.6   6.9 99.0 99.00
2009 03 11 20 50 188 12.4 14.5  0.99  4.00  3.58 175 1012.1   7.1   3.7   7.0 99.0 99.00
2009 03 11 21 50 198  9.8 11.5  0.94  3.85  3.60 180 1012.4   7.0   3.7   6.9 99.0 99.00
2009 03 11 22 50 212  7.8  8.8  0.87  3.70  3.40 188 1012.7   6.0   3.7   5.9 99.0 99.00
2009 03 11 23 50 224  7.3  8.3  0.63  3.03  3.20 208 1013.3   5.9   3.4   5.8 99.0 99.00
2009 03 12 00 50 240  6.3  7.0  0.53  3.23  3.15 217 1013.7   5.3   3.1   5.2 99.0 99.00
2009 03 12 01 50 231  6.2  7.1  0.49  3.13  3.02 242 1013.8   4.6   2.9   4.5 99.0 99.00
2009 03 12 02 50 245  6.9  8.1  0.44  3.33  3.17 268 1014.3   4.8   2.9   4.7 99.0 99.00
2009 03 12 03 50 243  4.5  5.5  0.46  6.67  3.86 248 1015.0   4.0   2.8   3.9 99.0 99.00
2009 03 12 04 50 277  5.9  6.8  0.51  7.14  4.22  84 1016.4   4.0   2.8   3.9 99.0 99.00
2009 03 12 05 50 310  8.7 11.0  0.59  3.23  3.47 304 1017.6   5.5   2.8  -1.2 99.0 99.00
2009 03 12 06 50 328 10.7 12.9  0.64  3.57  3.49 283 1018.2   5.0   3.1  -2.6 99.0 99.00
2009 03 12 07 50 311  8.5 10.9  0.62  4.00  3.66 294 1019.8   4.3   3.4  -2.2 99.0 99.00
2009 03 12 08 50 324  7.8 10.5 99.00 99.00 99.00 999 1021.1   3.8   3.5  -2.9 99.0 99.00
2009 03 12 09 50 321  9.2 11.4  0.75  4.17  3.45 270 1022.3   2.9   3.5  -5.3 99.0 99.00
2009 03 12 10 50 315 10.1 12.2 99.00 99.00 99.00 999 1023.5   2.1   3.5  -6.2 99.0 99.00
2009 03 12 11 50 318  9.6 11.6 99.00 99.00 99.00 999 1025.0   1.5   3.4  -6.8 99.0 99.00
