YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 12 160  2.1 99.0  0.20 99.00 99.00 999 9999.0 999.0   5.2  13.7 99.0 99.00
2004 01 27 12 330  7.2 99.0  0.60  4.00 99.00 999 9999.0 999.0   5.6   9.7 99.0 99.00
2004 02 03 00 130 12.4 99.0  1.70  5.00 99.00 999 9999.0   1.3 999.0   0.7 99.0 99.00
2004 02 03 01 110  6.2 99.0  1.40  5.00 99.00 999 9999.0   2.0 999.0   1.5 99.0 99.00
2004 02 03 02 190  7.7 99.0  1.10  4.00 99.00 999 9999.0   3.7 999.0   3.0 99.0 99.00
2004 02 03 03 230  5.7 99.0  0.70  4.00 99.00 999 9999.0   2.8 999.0   2.5 99.0 99.00
2004 02 03 04 250  7.7 99.0  0.60  3.00 99.00 999 9999.0   0.9 999.0   0.6 99.0 99.00
2004 02 03 20 110  7.7 99.0  0.70  4.00 99.00 999 9999.0   0.6 999.0  -1.1 99.0 99.00
2004 02 03 21 110  7.7 99.0  1.10  4.00 99.00 999 9999.0   0.6 999.0  -1.1 99.0 99.00
2004 02 03 22  60 10.8 99.0  1.30  5.00 99.00 999 9999.0   0.2 999.0  -0.7 99.0 99.00
2004 02 03 23 130 13.4 99.0  1.30  5.00 99.00 999 9999.0   0.4 999.0  -0.2 99.0 99.00
2004 02 04 00 300  5.7 99.0  0.50  4.00 99.00 999 9999.0   1.9 999.0  -5.7 99.0 99.00
2004 02 04 01 290  5.7 99.0  0.40  4.00 99.00 999 9999.0   1.2 999.0  -5.1 99.0 99.00
2004 02 04 02 300  6.2 99.0  0.50  4.00 99.00 999 9999.0   0.8 999.0  -5.0 99.0 99.00
2004 02 04 03 300  5.7 99.0  0.50  4.00 99.00 999 9999.0   0.5 999.0  -5.5 99.0 99.00
2004 02 04 04 290  7.7 99.0  0.60  4.00 99.00 999 9999.0   0.3 999.0  -5.5 99.0 99.00
2004 02 04 05 250 10.3 99.0  0.70  3.00 99.00 999 9999.0   0.9 999.0   0.3 99.0 99.00
2004 02 04 06 240  9.8 99.0  0.80  4.00 99.00 999 9999.0   0.8 999.0  -0.2 99.0 99.00
2004 02 04 07 240  7.7 99.0  0.80  4.00 99.00 999 9999.0   0.6 999.0  -0.4 99.0 99.00
2004 02 04 08   0  0.0 99.0  0.00 99.00 99.00 999 9999.0 999.0 999.0 -27.3 99.0 99.00
2004 02 04 09 260  7.2 99.0  0.80  4.00 99.00 999 9999.0   1.2 999.0  -0.7 99.0 99.00
2004 02 04 10 270  8.2 99.0  0.80  4.00 99.00 999 9999.0   1.4 999.0  -0.9 99.0 99.00
2004 02 04 11 270  9.3 99.0  0.80  4.00 99.00 999 9999.0   1.4 999.0  -1.2 99.0 99.00
2004 02 04 12 270  8.2 99.0  0.70  4.00 99.00 999 9999.0   1.9 999.0  -1.4 99.0 99.00
2004 02 04 13 270  7.7 99.0  0.70  4.00 99.00 999 9999.0   1.6 999.0  -1.7 99.0 99.00
2004 02 04 14 290  5.7 99.0  0.70  4.00 99.00 999 9999.0   1.6 999.0  -1.8 99.0 99.00
2004 02 04 15 310  5.1 99.0  0.60  4.00 99.00 999 9999.0   2.3 999.0  -2.2 99.0 99.00
2004 02 04 16 280  7.2 99.0  0.70  4.00 99.00 999 9999.0   2.6 999.0  -2.7 99.0 99.00
2004 02 04 17 270  7.7 99.0  0.90  4.00 99.00 999 9999.0   2.6 999.0  -3.2 99.0 99.00
2004 02 04 18 270  4.1 99.0  0.70  4.00 99.00 999 9999.0   2.2 999.0  -3.1 99.0 99.00
2004 02 04 19 290  7.2 99.0  0.80  4.00 99.00 999 9999.0   3.0 999.0  -4.9 99.0 99.00
2004 02 04 20 300  6.2 99.0  0.70  4.00 99.00 999 9999.0   2.4 999.0  -4.6 99.0 99.00
2004 02 04 21 300  5.7 99.0  0.70  4.00 99.00 999 9999.0   2.0 999.0  -4.2 99.0 99.00
2004 02 04 22 300  4.6 99.0  0.60  4.00 99.00 999 9999.0   2.0 999.0  -4.7 99.0 99.00
2004 02 04 23 340  4.1 99.0  0.50  4.00 99.00 999 9999.0   1.6 999.0  -4.7 99.0 99.00
2004 02 05 00 310  3.1 99.0  0.30  3.00 99.00 999 9999.0   0.0 999.0  -4.8 99.0 99.00
2004 02 05 01 300  3.6 99.0  0.20 99.00 99.00 999 9999.0  -0.1 999.0  -4.7 99.0 99.00
2004 02 05 02  10  2.6 99.0  0.20 99.00 99.00 999 9999.0   0.0 999.0  -5.2 99.0 99.00
2004 02 05 03 350  2.1 99.0  0.20 99.00 99.00 999 9999.0   0.0 999.0  -5.9 99.0 99.00
2004 02 05 04 360  2.6 99.0  0.10 99.00 99.00 999 9999.0  -0.1 999.0  -8.1 99.0 99.00
2004 02 05 05 280  6.2 99.0  0.60  3.00 99.00 999 9999.0   0.1 999.0  -5.6 99.0 99.00
2004 02 05 06 300  5.7 99.0  0.60  3.00 99.00 999 9999.0  -0.3 999.0  -5.7 99.0 99.00
2004 02 05 07 330  6.2 99.0  0.50  4.00 99.00 999 9999.0  -1.5 999.0  -7.5 99.0 99.00
2004 02 05 08 300  5.7 99.0  0.40  3.00 99.00 999 9999.0  -1.8 999.0  -8.1 99.0 99.00
2004 02 05 09 300  8.8 99.0  0.50  3.00 99.00 999 9999.0  -2.2 999.0  -8.9 99.0 99.00
2004 02 05 10 300  5.7 99.0  0.50  3.00 99.00 999 9999.0  -2.7 999.0  -8.5 99.0 99.00
2004 02 05 11 310  7.2 99.0  0.50  3.00 99.00 999 9999.0  -2.7 999.0  -9.3 99.0 99.00
2004 02 05 12 290  7.2 99.0  0.50  3.00 99.00 999 9999.0  -2.8 999.0  -9.3 99.0 99.00
2004 02 05 13 300  6.7 99.0  0.60  4.00 99.00 999 9999.0  -2.8 999.0  -8.2 99.0 99.00
2004 02 05 14 290  6.7 99.0  0.60  4.00 99.00 999 9999.0  -2.8 999.0  -9.4 99.0 99.00
2004 02 05 15 340  7.7 99.0  0.70  4.00 99.00 999 9999.0  -2.6 999.0  -9.0 99.0 99.00
2004 02 05 16 330  6.2 99.0  0.60  4.00 99.00 999 9999.0  -0.9 999.0  -9.5 99.0 99.00
