YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 110  8.2 10.3  0.60  4.00 99.00 999 1008.4   2.3   5.5   2.0 99.0 99.00
2006 01 01 01 00 100  7.2  9.8  0.70  3.00 99.00 999 1008.2   1.8   5.4   1.3 99.0 99.00
2006 01 03 14 00  90 10.3 14.4  1.40  5.00 99.00 999 1012.3   2.7   5.5   2.2 99.0 99.00
2006 01 03 15 00  90 10.8 13.4  1.20  5.00 99.00 999 1012.0   3.2   5.5   2.3 99.0 99.00
2006 01 03 16 00  70 11.3 14.4  1.10  4.00 99.00 999 1011.2   3.0   5.5   2.3 99.0 99.00
2006 01 03 17 00  60 11.3 14.9  1.10  4.00 99.00 999 1011.2   3.0   5.5   2.1 99.0 99.00
2006 01 03 18 00  60 11.8 14.9  1.00  4.00 99.00 999 1011.6   3.2   5.5   1.9 99.0 99.00
2006 01 03 19 00  50 11.8 25.2  1.00  5.00 99.00 999 1012.0   3.3   5.5   1.5 99.0 99.00
2006 01 03 20 00  50 11.8 15.4  1.10  5.00 99.00 999 1012.8   3.5   5.5   1.1 99.0 99.00
2006 01 03 21 00  50 11.8 16.0  1.30  6.00 99.00 999 1013.8   3.5   5.6   0.7 99.0 99.00
2006 01 03 22 00  50 11.3 16.0  1.30  5.00 99.00 999 1014.3   3.2   5.6   0.4 99.0 99.00
2006 01 03 23 00  40 10.3 13.9  1.30  6.00 99.00 999 1015.5   2.7   5.5   0.3 99.0 99.00
2006 01 04 00 00  40  9.8 13.9  1.30  5.00 99.00 999 1016.2   2.3   5.5  -0.4 99.0 99.00
2006 01 04 01 00  50  9.8 12.9  1.10  5.00 99.00 999 1016.7   2.0   5.5  -1.0 99.0 99.00
2006 01 04 02 00  60  9.3 12.9  1.00  5.00 99.00 999 1016.5   1.9   5.5  -1.3 99.0 99.00
2006 01 04 03 00  60  8.8 11.8  0.90  4.00 99.00 999 1016.5   1.6   5.5  -1.7 99.0 99.00
2006 01 04 04 00  50  9.3 11.8  0.80  3.00 99.00 999 1016.2   1.4   5.5  -2.0 99.0 99.00
2006 01 04 05 00  50  8.8 12.4  0.70  3.00 99.00 999 1016.4   1.1   5.5  -1.9 99.0 99.00
2006 01 04 06 00  40  8.8 11.8  0.70  3.00 99.00 999 1016.8   1.2   5.5  -1.9 99.0 99.00
2006 01 04 07 00  40  9.3 12.4  0.70  3.00 99.00 999 1016.9   0.7   5.4  -2.5 99.0 99.00
2006 01 04 08 00  20  8.2 11.3  0.70  4.00 99.00 999 1017.1   0.2   5.4  -2.8 99.0 99.00
2006 01 04 09 00  20  8.2 10.8  0.60  4.00 99.00 999 1017.5  -0.5   5.4  -2.9 99.0 99.00
2006 01 04 10 00  20  8.2 10.3  0.60  3.00 99.00 999 1018.0  -0.6   5.4  -3.0 99.0 99.00
2006 01 04 11 00  20  8.2 10.3  0.60  3.00 99.00 999 1018.5  -1.5   5.4  -3.7 99.0 99.00
2006 01 04 12 00  30  6.2  8.8  0.60  3.00 99.00 999 1018.7  -1.1   5.4  -3.5 99.0 99.00
2006 01 04 13 00  30  6.2  7.7  0.50  3.00 99.00 999 1018.5  -0.6   5.4  -3.4 99.0 99.00
2006 01 04 14 00  50  6.2  8.2  0.50  3.00 99.00 999 1018.2   0.2   5.4  -2.9 99.0 99.00
2006 01 04 15 00  70  5.7  7.7  0.50  2.00 99.00 999 1016.6   1.1   5.4  -2.5 99.0 99.00
2006 01 04 16 00  90  5.1  7.2  0.40  3.00 99.00 999 1015.1   2.1   5.4  -2.0 99.0 99.00
2006 01 04 17 00  80  2.1  3.1  0.30  2.00 99.00 999 1014.4   2.4   5.4  -2.3 99.0 99.00
2006 01 04 18 00  20  2.1  3.1  0.30  2.00 99.00 999 1013.8   1.8   5.4  -2.2 99.0 99.00
2006 01 04 19 00  10  2.6  3.6  0.30  2.00 99.00 999 1013.9   2.0   5.4  -2.3 99.0 99.00
2006 01 04 20 00  10  1.5  3.1  0.20 99.00 99.00 999 1013.8   2.0   5.4  -2.4 99.0 99.00
2006 01 04 21 00 360  0.5  2.1  0.20 99.00 99.00 999 1013.0   2.3   5.4  -2.1 99.0 99.00
2006 01 04 23 00 130  1.5  3.6  0.10 99.00 99.00 999 1013.3   2.5   5.4  -1.0 99.0 99.00
2006 01 05 00 00  30  3.1  4.1  0.20 99.00 99.00 999 1012.7   2.1   5.3  -0.5 99.0 99.00
2006 01 05 02 00 220  2.1  3.6  0.20 99.00 99.00 999 1011.7   2.6   5.4  -0.6 99.0 99.00
2006 01 05 04 00 130  4.1  5.7  0.20 99.00 99.00 999 1009.7   2.3   5.4   0.4 99.0 99.00
2006 01 05 05 00 140  5.1  6.2  0.20 99.00 99.00 999 1008.5   2.1   5.4   1.1 99.0 99.00
2006 01 05 06 00 160  4.6  6.2  0.20 99.00 99.00 999 1008.1   2.6   5.4   1.7 99.0 99.00
2006 01 05 07 00 150  4.1  5.1  0.20 99.00 99.00 999 1007.8   2.9   5.4   2.0 99.0 99.00
2006 01 05 09 00 130  4.6  6.2  0.20 99.00 99.00 999 1005.9   3.7   5.4   3.2 99.0 99.00
2006 01 06 05 00 290  3.6  5.1  0.20 99.00 99.00 999 1005.3   5.8   5.4   3.0 99.0 99.00
