#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 30 310  4.6  6.2  0.60  4.00 99.00 999 9999.0   6.9 999.0   0.5 99.0 99.00
2016 01 01 00 53 310  4.1  5.7  0.60  4.00 99.00 999 9999.0   6.8 999.0   0.3 99.0 99.00
2016 01 01 01 00 320  4.1  5.1  0.60  4.00 99.00 999 9999.0   6.8 999.0   0.3 99.0 99.00
2016 01 01 01 30 310  3.6  4.6  0.60  4.00 99.00 999 9999.0   6.8 999.0   0.5 99.0 99.00
2016 01 01 01 45 310  3.6  4.6  0.50  4.00 99.00 999 9999.0   6.9 999.0   0.9 99.0 99.00
2016 01 01 01 53 320  4.1  6.2  0.40  4.00 99.00 999 9999.0   6.8 999.0   0.9 99.0 99.00
2016 01 01 02 15 320  4.1  6.2  0.40  4.00 99.00 999 9999.0   6.8 999.0   0.9 99.0 99.00
2016 01 01 02 30 310  5.1  6.2  0.40  4.00 99.00 999 9999.0   6.8 999.0   0.5 99.0 99.00
2016 01 01 02 45 320  5.7  7.2  0.30  4.00 99.00 999 9999.0   6.7 999.0   0.4 99.0 99.00
2016 01 01 02 53 320  5.7  7.7  0.30  4.00 99.00 999 9999.0   6.6 999.0   0.5 99.0 99.00
2016 01 01 03 30 320  6.2  8.8  0.30  4.00 99.00 999 9999.0   6.3 999.0   0.5 99.0 99.00
2016 01 01 03 53 340  7.7 10.3  0.40  2.00 99.00 999 9999.0   6.0 999.0  -0.3 99.0 99.00
2016 01 01 04 00 340  7.7 10.3  0.40  2.00 99.00 999 9999.0   6.0 999.0  -0.3 99.0 99.00
2016 01 01 06 23 330  5.7  7.2  0.40  4.00 99.00 999 9999.0   5.4 999.0  -0.9 99.0 99.00
2016 01 01 06 30 330  5.7  7.2  0.40  4.00 99.00 999 9999.0   5.4 999.0  -0.9 99.0 99.00
2016 01 01 07 45 340  5.1  6.7  0.40  4.00 99.00 999 9999.0   5.1 999.0  -1.0 99.0 99.00
2016 01 01 07 53 330  5.1  6.7  0.50  4.00 99.00 999 9999.0   5.0 999.0  -1.2 99.0 99.00
2016 01 01 08 15 330  5.1  6.7  0.50  4.00 99.00 999 9999.0   5.0 999.0  -1.2 99.0 99.00
2016 01 01 08 53 330  4.1  6.2  0.50  4.00 99.00 999 9999.0   5.0 999.0  -1.1 99.0 99.00
2016 01 01 09 00 330  4.1  6.2  0.40  4.00 99.00 999 9999.0   5.0 999.0  -1.1 99.0 99.00
2016 01 01 09 30 320  4.1  6.2  0.50  4.00 99.00 999 9999.0   5.1 999.0  -0.9 99.0 99.00
2016 01 01 09 53 300  4.6  6.7  0.50  4.00 99.00 999 9999.0   5.2 999.0  -0.8 99.0 99.00
2016 01 01 10 00 290  4.6  6.2  0.50  4.00 99.00 999 9999.0   5.2 999.0  -0.8 99.0 99.00
2016 01 01 10 15 300  4.6  6.7  0.50  4.00 99.00 999 9999.0   5.2 999.0  -0.8 99.0 99.00
2016 01 01 10 45 290  7.2  9.3  0.50  3.00 99.00 999 9999.0   5.4 999.0  -0.7 99.0 99.00
2016 01 01 10 53 290  7.2  9.3  0.60  3.00 99.00 999 9999.0   5.3 999.0  -0.6 99.0 99.00
2016 01 01 11 00 290  6.7  8.8  0.60  3.00 99.00 999 9999.0   5.4 999.0  -0.7 99.0 99.00
2016 01 01 11 30 280  7.2  9.3  0.60  3.00 99.00 999 9999.0   5.3 999.0  -0.5 99.0 99.00
2016 01 01 11 45 280  7.2  9.3  0.60  4.00 99.00 999 9999.0   5.3 999.0  -0.6 99.0 99.00
2016 01 01 11 53 270  7.7  9.3  0.70  4.00 99.00 999 9999.0   5.2 999.0  -0.5 99.0 99.00
2016 01 01 12 00 280  7.2  8.8  0.70  4.00 99.00 999 9999.0   5.3 999.0  -0.5 99.0 99.00
2016 01 01 12 30 280  7.2  8.8  0.70  4.00 99.00 999 9999.0   5.3 999.0  -0.6 99.0 99.00
2016 01 01 12 45 280  7.2  8.8  0.70  4.00 99.00 999 9999.0   5.3 999.0  -0.6 99.0 99.00
2016 01 01 12 53 280  7.7  9.3  0.70  4.00 99.00 999 9999.0   5.3 999.0  -0.8 99.0 99.00
2016 01 01 13 15 280  7.7  9.8  0.70  4.00 99.00 999 9999.0   5.3 999.0  -0.8 99.0 99.00
2016 01 01 13 30 270  7.2  8.8  0.70  4.00 99.00 999 9999.0   5.2 999.0  -0.7 99.0 99.00
2016 01 01 13 45 280  7.2  9.3  0.70  4.00 99.00 999 9999.0   5.3 999.0  -0.9 99.0 99.00
2016 01 01 13 53 270  7.7  9.8  0.60  4.00 99.00 999 9999.0   5.2 999.0  -1.2 99.0 99.00
2016 01 01 14 00 270  7.7  9.8  0.60  4.00 99.00 999 9999.0   5.2 999.0  -1.2 99.0 99.00
2016 01 01 14 45 280  7.7  9.8  0.60  4.00 99.00 999 9999.0   5.2 999.0  -1.4 99.0 99.00
2016 01 01 14 53 280  7.2  9.3  0.70  4.00 99.00 999 9999.0   5.1 999.0  -1.5 99.0 99.00
2016 01 01 15 00 280  7.2  9.3  0.70  4.00 99.00 999 9999.0   5.2 999.0  -1.2 99.0 99.00
2016 01 01 15 30 280  7.7  9.8  0.70  4.00 99.00 999 9999.0   5.2 999.0  -1.4 99.0 99.00
2016 01 01 15 53 270  6.7  9.3  0.70  4.00 99.00 999 9999.0   5.3 999.0  -1.2 99.0 99.00
2016 01 01 16 00 280  7.2  9.8  0.70  4.00 99.00 999 9999.0   5.3 999.0  -1.2 99.0 99.00
2016 01 01 16 15 270  6.7  9.3  0.70  4.00 99.00 999 9999.0   5.3 999.0  -1.2 99.0 99.00
2016 01 01 16 23 280  6.7  9.3  0.70  4.00 99.00 999 9999.0   5.3 999.0  -1.5 99.0 99.00
2016 01 01 16 30 280  6.7  9.3  0.70  4.00 99.00 999 9999.0   5.3 999.0  -1.5 99.0 99.00
2016 01 01 17 23 270  7.7  9.8  0.60  4.00 99.00 999 9999.0   5.5 999.0  -1.3 99.0 99.00
2016 01 01 17 30 270  7.7  9.8  0.60  4.00 99.00 999 9999.0   5.5 999.0  -1.3 99.0 99.00
2016 01 01 20 15 290  9.3 11.3  0.60  4.00 99.00 999 9999.0   5.4 999.0  -2.3 99.0 99.00
2016 01 01 20 45 290  9.3 11.8  0.80  4.00 99.00 999 9999.0   5.4 999.0  -2.0 99.0 99.00
2016 01 01 20 53 280  8.8 11.3  0.80  4.00 99.00 999 9999.0   5.3 999.0  -1.9 99.0 99.00
2016 01 01 21 30 280  8.8 11.3  0.80  4.00 99.00 999 9999.0   5.1 999.0  -2.3 99.0 99.00
2016 01 01 21 53 280 10.3 12.4  0.80  4.00 99.00 999 9999.0   5.1 999.0  -1.5 99.0 99.00
2016 01 01 22 00 280 10.3 12.4  0.80  4.00 99.00 999 9999.0   5.1 999.0  -1.5 99.0 99.00
2016 01 01 22 45 280  9.3 11.3  0.80  4.00 99.00 999 9999.0   4.9 999.0  -1.8 99.0 99.00
2016 01 01 22 53 270  9.8 12.9  1.00  4.00 99.00 999 9999.0   4.9 999.0  -2.0 99.0 99.00
