YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 00 240  2.1 99.0 99.00 99.00 99.00 999 9999.0   7.8   5.0   6.4 99.0 99.00
2004 01 03 01 260  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.8   5.0   5.7 99.0 99.00
2004 01 03 02 260  2.1 99.0 99.00 99.00 99.00 999 9999.0   7.5   5.1   6.2 99.0 99.00
2004 01 03 03 260  2.1 99.0 99.00 99.00 99.00 999 9999.0   8.3   5.2   6.6 99.0 99.00
2004 01 03 04 300  4.1 99.0 99.00 99.00 99.00 999 9999.0   7.9   5.2   6.5 99.0 99.00
2004 01 03 13  70  2.6 99.0 99.00 99.00 99.00 999 9999.0   5.1   4.7   4.6 99.0 99.00
2004 01 03 14  60  3.1 99.0 99.00 99.00 99.00 999 9999.0   5.2   4.7   4.7 99.0 99.00
2004 01 03 15  70  2.6 99.0 99.00 99.00 99.00 999 9999.0   5.3   4.7   4.8 99.0 99.00
2004 01 03 16  40  2.1 99.0 99.00 99.00 99.00 999 9999.0   5.4   4.8   4.8 99.0 99.00
2004 01 03 17  20  1.5 99.0 99.00 99.00 99.00 999 9999.0   5.7   4.9   5.1 99.0 99.00
2004 01 03 18 150  2.1 99.0 99.00 99.00 99.00 999 9999.0   5.6   5.1   4.9 99.0 99.00
2004 01 03 19 110  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.1   5.2   5.3 99.0 99.00
2004 01 03 20  80  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.0   5.2   5.1 99.0 99.00
2004 01 03 21 160  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.2   5.4 99.0 99.00
2004 01 03 22   0  0.0 99.0 99.00 99.00 99.00 999 9999.0   6.8   5.1   5.6 99.0 99.00
2004 01 03 23 250  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.9   5.2   6.3 99.0 99.00
2004 01 04 00  50  4.1 99.0 99.00 99.00 99.00 999 9999.0   5.2   4.9   1.2 99.0 99.00
2004 01 04 01  30  6.2 99.0 99.00 99.00 99.00 999 9999.0   4.3   4.9   1.1 99.0 99.00
2004 01 04 02  20  5.7 99.0 99.00 99.00 99.00 999 9999.0   3.7   4.9   1.8 99.0 99.00
2004 01 04 03  30  6.7 99.0 99.00 99.00 99.00 999 9999.0   3.7   4.9   2.1 99.0 99.00
2004 01 04 04  40  5.7 99.0 99.00 99.00 99.00 999 9999.0   3.8   4.9   2.1 99.0 99.00
2004 01 04 05 270  3.1 99.0 99.00 99.00 99.00 999 9999.0   7.8   5.1   6.4 99.0 99.00
2004 01 04 06 280  3.1 99.0 99.00 99.00 99.00 999 9999.0   8.5   5.1   7.2 99.0 99.00
2004 01 04 07 340  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.9   5.1   6.8 99.0 99.00
2004 01 04 08 270  2.1 99.0 99.00 99.00 99.00 999 9999.0   9.6   5.1   8.4 99.0 99.00
2004 01 04 09 270  1.0 99.0 99.00 99.00 99.00 999 9999.0   8.8   5.2   7.9 99.0 99.00
2004 01 04 10 280  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.5   5.2   6.7 99.0 99.00
2004 01 04 11  50  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.5   5.1   7.0 99.0 99.00
2004 01 04 12 150  0.5 99.0 99.00 99.00 99.00 999 9999.0   7.0   5.0   6.6 99.0 99.00
2004 01 04 13  20  0.5 99.0 99.00 99.00 99.00 999 9999.0   7.9   5.2   7.7 99.0 99.00
2004 01 04 14 180  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.8   5.1   7.5 99.0 99.00
2004 01 04 15  10  1.0 99.0 99.00 99.00 99.00 999 9999.0   8.3   5.2   7.9 99.0 99.00
2004 01 04 16  60  1.0 99.0 99.00 99.00 99.00 999 9999.0   8.4   5.4   7.2 99.0 99.00
2004 01 04 17 330  1.5 99.0 99.00 99.00 99.00 999 9999.0   8.2   5.3   6.9 99.0 99.00
2004 01 04 18  30  3.1 99.0 99.00 99.00 99.00 999 9999.0   8.1   5.1   6.0 99.0 99.00
2004 01 04 19  20  3.6 99.0 99.00 99.00 99.00 999 9999.0   7.2   5.3   5.4 99.0 99.00
2004 01 04 20  50  3.6 99.0 99.00 99.00 99.00 999 9999.0   6.1   5.1   4.9 99.0 99.00
2004 01 04 21  80  6.2 99.0 99.00 99.00 99.00 999 9999.0   4.9   5.0   4.0 99.0 99.00
2004 01 04 22 100  4.1 99.0 99.00 99.00 99.00 999 9999.0   4.6   4.9   3.3 99.0 99.00
2004 01 04 23  80  4.1 99.0 99.00 99.00 99.00 999 9999.0   5.1   5.0   2.7 99.0 99.00
2004 01 05 00  40  2.1 99.0 99.00 99.00 99.00 999 9999.0   3.1   4.9   1.8 99.0 99.00
2004 01 05 01 330  1.5 99.0 99.00 99.00 99.00 999 9999.0   3.1   4.8   1.9 99.0 99.00
2004 01 05 02 320  2.6 99.0 99.00 99.00 99.00 999 9999.0   3.2   4.8   2.1 99.0 99.00
2004 01 05 03 280  2.1 99.0 99.00 99.00 99.00 999 9999.0   3.3   4.8   2.2 99.0 99.00
2004 01 05 04 290  4.6 99.0 99.00 99.00 99.00 999 9999.0   3.7   4.8   2.4 99.0 99.00
2004 01 05 05  40  5.7 99.0 99.00 99.00 99.00 999 9999.0   3.6   4.9   2.5 99.0 99.00
2004 01 05 06  60  6.7 99.0 99.00 99.00 99.00 999 9999.0   3.8   4.9   2.7 99.0 99.00
2004 01 05 07  70  7.7 99.0 99.00 99.00 99.00 999 9999.0   3.9   4.9   2.9 99.0 99.00
2004 01 05 08  90  8.2 99.0 99.00 99.00 99.00 999 9999.0   3.8   4.9   3.0 99.0 99.00
2004 01 05 09  70  7.7 99.0 99.00 99.00 99.00 999 9999.0   3.8   4.9   3.1 99.0 99.00
2004 01 05 10  80  8.2 99.0 99.00 99.00 99.00 999 9999.0   3.3   4.8   2.6 99.0 99.00
2004 01 05 11  90  9.3 99.0 99.00 99.00 99.00 999 9999.0   3.2   4.9   2.2 99.0 99.00
2004 01 05 12 100  8.2 99.0 99.00 99.00 99.00 999 9999.0   3.3   4.8   2.5 99.0 99.00
2004 01 05 13 110 10.8 99.0 99.00 99.00 99.00 999 9999.0   3.5   4.9   2.3 99.0 99.00
2004 01 05 14 100 10.8 99.0 99.00 99.00 99.00 999 9999.0   3.8   4.9   2.5 99.0 99.00
2004 01 05 15  90  9.3 99.0 99.00 99.00 99.00 999 9999.0   4.2   4.9   3.0 99.0 99.00
2004 01 05 16  80  8.8 99.0 99.00 99.00 99.00 999 9999.0   3.8   5.0   2.9 99.0 99.00
