YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 01 00 00  80  3.6  4.6 99.00 99.00 99.00 999 1028.3  13.5 999.0   6.0 99.0 99.00
2006 05 01 00 30 100  4.6  5.7  0.20 99.00 99.00 999 1028.5  13.4 999.0   5.4 99.0 99.00
2006 05 01 01 00 110  4.1  5.1 99.00 99.00 99.00 999 1028.9  13.1 999.0   5.3 99.0 99.00
2006 05 01 01 30 100  3.1  4.6  0.20 99.00 99.00 999 1029.2  13.1 999.0   5.2 99.0 99.00
2006 05 01 02 00  90  3.6  4.1 99.00 99.00 99.00 999 1029.4  13.1 999.0   4.5 99.0 99.00
2006 05 01 02 30  70  2.1  2.6  0.20 99.00 99.00 999 1029.5  12.6 999.0   5.2 99.0 99.00
2006 05 01 03 00  20  2.1  2.6 99.00 99.00 99.00 999 1029.2  12.6 999.0   3.8 99.0 99.00
2006 05 01 03 30 350  1.5  2.1  0.20 99.00 99.00 999 1029.1  12.1 999.0   5.2 99.0 99.00
2006 05 01 04 00  10  2.6  2.6 99.00 99.00 99.00 999 1028.9  11.9 999.0   4.1 99.0 99.00
2006 05 01 04 30  50  1.5  2.6  0.20 99.00 99.00 999 1029.0  11.2 999.0   4.9 99.0 99.00
2006 05 01 05 00  60  1.0  1.5 99.00 99.00 99.00 999 1029.1  10.9 999.0   3.9 99.0 99.00
2006 05 01 05 30  50  2.1  2.6  0.20 99.00 99.00 999 1028.8  11.1 999.0   6.2 99.0 99.00
2006 05 01 06 00  30  1.5  2.1 99.00 99.00 99.00 999 1028.6  11.3 999.0   3.2 99.0 99.00
2006 05 01 06 30  40  3.1  3.6  0.20 99.00 99.00 999 1028.4  11.5 999.0   1.8 99.0 99.00
2006 05 01 07 00  50  3.1  4.1 99.00 99.00 99.00 999 1028.1  11.6 999.0   2.4 99.0 99.00
2006 05 01 07 30  70  5.1  6.2  0.20 99.00 99.00 999 1028.0  12.1 999.0   0.0 99.0 99.00
2006 05 01 08 00  70  6.2  7.2 99.00 99.00 99.00 999 1028.0  12.0 999.0   0.5 99.0 99.00
2006 05 01 08 30  70  6.2  7.2  0.30  2.00 99.00 999 1028.0  12.0 999.0  -0.1 99.0 99.00
2006 05 01 09 00  60  5.7  7.2 99.00 99.00 99.00 999 1028.3  11.7 999.0  -0.6 99.0 99.00
2006 05 01 09 30  70  5.7  7.2  0.30  3.00 99.00 999 1028.4  11.5 999.0  -1.3 99.0 99.00
2006 05 01 10 00  70  7.2  9.3 99.00 99.00 99.00 999 1028.4  11.6 999.0  -1.4 99.0 99.00
2006 05 01 11 00  70  7.7  8.8 99.00 99.00 99.00 999 1028.5  11.9 999.0  -0.8 99.0 99.00
2006 05 01 11 30  70  7.2  9.3  0.50  3.00 99.00 999 1028.5  11.9 999.0  -1.4 99.0 99.00
2006 05 01 12 00  80  7.2  9.3 99.00 99.00 99.00 999 1028.5  12.0 999.0  -0.6 99.0 99.00
2006 05 01 12 30  90  7.2  9.3  0.50  4.00 99.00 999 1028.6  12.2 999.0  -0.2 99.0 99.00
2006 05 01 13 00 100  5.7  7.2 99.00 99.00 99.00 999 1028.6  12.1 999.0   2.3 99.0 99.00
2006 05 01 13 30 100  5.1  6.2  0.60  4.00 99.00 999 1028.3  12.0 999.0   3.0 99.0 99.00
2006 05 01 14 00 110  5.7  7.2 99.00 99.00 99.00 999 1028.2  12.1 999.0   3.0 99.0 99.00
2006 05 01 14 30 100  6.2  7.2 99.00 99.00 99.00 999 1028.0  12.8 999.0   3.5 99.0 99.00
2006 05 01 15 00 110  5.7  7.2 99.00 99.00 99.00 999 1027.9  12.8 999.0   3.2 99.0 99.00
2006 05 01 16 00 120  4.1  5.1 99.00 99.00 99.00 999 1027.7  12.3 999.0   4.5 99.0 99.00
2006 05 01 17 30 140  4.1  4.6  0.50  4.00 99.00 999 1026.2  12.6 999.0   4.0 99.0 99.00
2006 05 01 18 00 140  3.6  5.1 99.00 99.00 99.00 999 1025.7  13.7 999.0   2.0 99.0 99.00
2006 05 01 18 30 140  3.6  4.6  0.40  4.00 99.00 999 1024.9  13.8 999.0   2.4 99.0 99.00
2006 05 01 19 00 130  4.1  5.7 99.00 99.00 99.00 999 1024.5  14.1 999.0   2.3 99.0 99.00
2006 05 01 19 30 140  4.6  6.2 99.00 99.00 99.00 999 1024.0  13.9 999.0   3.1 99.0 99.00
2006 05 01 20 00 130  5.1  6.7 99.00 99.00 99.00 999 1023.9  13.8 999.0   3.4 99.0 99.00
2006 05 01 20 30 130  4.6  5.7 99.00 99.00 99.00 999 1023.8  13.9 999.0   4.2 99.0 99.00
2006 05 01 21 00 130  4.6  5.1 99.00 99.00 99.00 999 1023.6  13.8 999.0   4.4 99.0 99.00
2006 05 01 21 30 120  6.2  7.7 99.00 99.00 99.00 999 1023.6  13.5 999.0   4.3 99.0 99.00
2006 05 01 22 00 130  7.7  9.3 99.00 99.00 99.00 999 1023.3  13.6 999.0   3.9 99.0 99.00
2006 05 01 23 00 130  6.7  8.2 99.00 99.00 99.00 999 1023.4  13.5 999.0   3.5 99.0 99.00
2006 05 01 23 30 130  6.2  7.7  0.50  4.00 99.00 999 1023.4  13.3 999.0   4.0 99.0 99.00
2006 05 02 00 00 120  7.2 10.8 99.00 99.00 99.00 999 1023.3  12.3 999.0   5.4 99.0 99.00
2006 05 02 00 30 130  7.7  9.8  0.70  4.00 99.00 999 1023.1  12.6 999.0   4.5 99.0 99.00
2006 05 02 01 00 130  8.2 10.3 99.00 99.00 99.00 999 1023.2  12.3 999.0   5.0 99.0 99.00
2006 05 02 02 00 110  8.2 10.3 99.00 99.00 99.00 999 1023.6  12.4 999.0   2.9 99.0 99.00
2006 05 02 02 30 100  8.2 10.8  0.90  4.00 99.00 999 1023.6  12.3 999.0   1.1 99.0 99.00
2006 05 02 03 00  90  6.2  8.2 99.00 99.00 99.00 999 1023.5  11.7 999.0   3.2 99.0 99.00
2006 05 02 03 30  70  5.1  7.2 99.00 99.00 99.00 999 1023.1  11.7 999.0   0.9 99.0 99.00
2006 05 02 04 00  50  4.6  6.2 99.00 99.00 99.00 999 1023.0  11.6 999.0  -0.5 99.0 99.00
2006 05 02 04 30  60  6.2  8.2 99.00 99.00 99.00 999 1022.5  11.4 999.0   0.7 99.0 99.00
2006 05 02 05 00  40  5.1  6.7 99.00 99.00 99.00 999 1022.2  11.2 999.0   0.7 99.0 99.00
2006 05 02 05 30  40  5.1  6.7 99.00 99.00 99.00 999 1021.7  10.6 999.0   0.0 99.0 99.00
2006 05 02 06 00  50  6.2  7.7 99.00 99.00 99.00 999 1021.3  10.7 999.0   0.1 99.0 99.00
2006 05 02 06 30  40  6.2  8.2 99.00 99.00 99.00 999 1020.8  10.3 999.0   0.4 99.0 99.00
2006 05 02 07 00  50  7.2  9.3 99.00 99.00 99.00 999 1020.6  10.4 999.0   1.0 99.0 99.00
2006 05 02 07 30  20  4.6  5.7  0.60  5.00 99.00 999 1020.2   9.9 999.0   0.6 99.0 99.00
2006 05 02 08 00  30  4.6  6.7 99.00 99.00 99.00 999 1019.8   9.8 999.0   0.7 99.0 99.00
2006 05 02 08 30  40  5.1  6.7  0.50  5.00 99.00 999 1019.5   9.7 999.0   0.6 99.0 99.00
2006 05 02 09 00  60  5.7  7.7 99.00 99.00 99.00 999 1019.2   9.7 999.0   1.5 99.0 99.00
2006 05 02 09 30  50  6.7  8.8 99.00 99.00 99.00 999 1018.8   9.7 999.0   2.2 99.0 99.00
2006 05 02 10 00  50  6.7  8.8 99.00 99.00 99.00 999 1018.8   9.6 999.0   2.2 99.0 99.00
2006 05 02 10 30  40  5.7  7.2  0.40  5.00 99.00 999 1018.8   9.6 999.0   2.2 99.0 99.00
2006 05 02 11 00  30  5.7  7.7 99.00 99.00 99.00 999 1018.8   9.5 999.0   2.2 99.0 99.00
2006 05 02 11 30  30  4.6  6.2 99.00 99.00 99.00 999 1018.5   9.6 999.0   2.5 99.0 99.00
2006 05 02 12 00  20  4.1  6.2 99.00 99.00 99.00 999 1018.4   9.7 999.0   2.6 99.0 99.00
2006 05 02 12 30  30  3.6  4.6 99.00 99.00 99.00 999 1018.0  10.0 999.0   2.7 99.0 99.00
2006 05 02 13 00  20  3.1  5.1 99.00 99.00 99.00 999 1018.0  10.1 999.0   2.8 99.0 99.00
2006 05 02 13 30  10  2.1  3.6 99.00 99.00 99.00 999 1017.6  10.4 999.0   2.7 99.0 99.00
2006 05 02 14 00  20  1.5  3.1 99.00 99.00 99.00 999 1017.4  10.6 999.0   2.7 99.0 99.00
2006 05 02 14 30  20  1.5  2.6  0.40  4.00 99.00 999 1017.2  11.0 999.0   2.8 99.0 99.00
2006 05 02 15 00   0  0.0  1.0 99.00 99.00 99.00 999 1016.7  11.6 999.0   3.0 99.0 99.00
2006 05 02 15 30 190  1.0  1.5  0.40  4.00 99.00 999 1016.1  11.8 999.0   3.1 99.0 99.00
2006 05 02 16 00 190  2.6  3.1 99.00 99.00 99.00 999 1015.8  11.4 999.0   4.0 99.0 99.00
2006 05 02 16 30 150  4.1  5.1 99.00 99.00 99.00 999 1015.0  11.5 999.0   4.7 99.0 99.00
2006 05 02 17 00 140  4.1  5.1 99.00 99.00 99.00 999 1014.8  11.6 999.0   5.2 99.0 99.00
2006 05 02 17 30 150  4.1  5.7 99.00 99.00 99.00 999 1014.2  12.0 999.0   5.6 99.0 99.00
2006 05 02 18 00 150  3.6  4.1 99.00 99.00 99.00 999 1014.2  12.1 999.0   5.9 99.0 99.00
2006 05 02 18 30 140  5.1  6.2  0.30  4.00 99.00 999 1013.9  11.8 999.0   6.2 99.0 99.00
2006 05 02 19 00 140  5.7  7.2 99.00 99.00 99.00 999 1013.6  11.4 999.0   7.0 99.0 99.00
2006 05 02 19 30 150  6.7  7.7  0.30  4.00 99.00 999 1013.2  11.1 999.0   7.4 99.0 99.00
2006 05 02 20 00 140  5.1  6.7 99.00 99.00 99.00 999 1012.8  11.1 999.0   8.0 99.0 99.00
2006 05 02 20 30 130  6.7  7.7  0.40  4.00 99.00 999 1012.5  11.1 999.0   8.2 99.0 99.00
2006 05 02 21 00 130  6.7  8.2 99.00 99.00 99.00 999 1012.5  10.9 999.0   8.6 99.0 99.00
2006 05 02 21 30 130  6.7  8.2  0.50  4.00 99.00 999 1012.7  10.9 999.0   8.8 99.0 99.00
2006 05 02 22 00 120  6.2  7.7 99.00 99.00 99.00 999 1012.8  11.0 999.0   8.9 99.0 99.00
2006 05 02 22 30 100  6.2  7.7  0.50  4.00 99.00 999 1012.8  11.3 999.0   8.6 99.0 99.00
2006 05 02 23 00  90  5.7  7.2 99.00 99.00 99.00 999 1013.0  11.3 999.0   8.5 99.0 99.00
2006 05 02 23 30  90  5.7  6.7  0.40  4.00 99.00 999 1013.2  11.3 999.0   8.5 99.0 99.00
2006 05 03 00 00  90  5.7  6.7 99.00 99.00 99.00 999 1013.4  11.4 999.0   8.5 99.0 99.00
2006 05 03 00 30  90  6.2  7.2  0.50  4.00 99.00 999 1013.3  11.4 999.0   7.9 99.0 99.00
2006 05 03 01 00  90  6.2  7.2 99.00 99.00 99.00 999 1013.4  11.3 999.0   7.8 99.0 99.00
2006 05 03 01 30  80  4.1  5.1  0.40  3.00 99.00 999 1013.8  11.3 999.0   7.9 99.0 99.00
2006 05 03 02 00  80  3.6  4.6 99.00 99.00 99.00 999 1014.0  11.3 999.0   8.1 99.0 99.00
2006 05 03 02 30  80  3.1  3.6  0.30  3.00 99.00 999 1013.8  11.3 999.0   8.1 99.0 99.00
2006 05 03 03 00  60  4.1  5.1 99.00 99.00 99.00 999 1013.5  11.5 999.0   7.4 99.0 99.00
2006 05 03 03 30  70  3.1  4.6  0.30  3.00 99.00 999 1013.3  11.5 999.0   7.4 99.0 99.00
2006 05 03 04 00  50  1.5  2.6 99.00 99.00 99.00 999 1013.2  11.4 999.0   7.7 99.0 99.00
2006 05 03 04 30  50  1.0  1.5  0.30  3.00 99.00 999 1013.1  11.5 999.0   7.4 99.0 99.00
2006 05 03 05 00 110  1.0  1.5 99.00 99.00 99.00 999 1013.0  11.3 999.0   7.6 99.0 99.00
2006 05 03 05 30   0  0.0  1.0  0.20 99.00 99.00 999 1012.8  11.2 999.0   7.5 99.0 99.00
2006 05 03 06 00 110  2.1  2.6 99.00 99.00 99.00 999 1012.3  11.1 999.0   7.9 99.0 99.00
2006 05 03 06 30  70  2.1  2.6  0.20 99.00 99.00 999 1012.1  11.3 999.0   7.6 99.0 99.00
2006 05 03 07 00  30  1.5  2.1 99.00 99.00 99.00 999 1011.9  11.2 999.0   8.3 99.0 99.00
2006 05 03 07 30  20  1.0  1.5  0.10 99.00 99.00 999 1011.8  10.9 999.0   8.6 99.0 99.00
2006 05 03 08 00  40  3.1  3.6 99.00 99.00 99.00 999 1011.6  11.0 999.0   8.0 99.0 99.00
2006 05 03 08 30  50  3.1  3.6  0.10 99.00 99.00 999 1011.6  11.0 999.0   7.7 99.0 99.00
2006 05 03 09 00  80  2.6  4.1 99.00 99.00 99.00 999 1011.6  10.5 999.0   7.8 99.0 99.00
2006 05 03 09 30  70  4.1  4.6  0.10 99.00 99.00 999 1011.7  10.4 999.0   7.5 99.0 99.00
2006 05 03 10 00  60  3.1  4.1 99.00 99.00 99.00 999 1011.7  10.3 999.0   7.2 99.0 99.00
2006 05 03 10 30  60  3.1  3.6  0.10 99.00 99.00 999 1012.0  10.3 999.0   7.1 99.0 99.00
2006 05 03 11 00  10  2.6  3.1 99.00 99.00 99.00 999 1012.4  10.4 999.0   7.0 99.0 99.00
2006 05 03 11 30 360  2.1  2.6  0.10 99.00 99.00 999 1012.4  10.5 999.0   7.1 99.0 99.00
2006 05 03 12 00 350  2.6  3.6 99.00 99.00 99.00 999 1012.3  10.5 999.0   7.0 99.0 99.00
2006 05 03 12 30 360  3.1  3.6  0.10 99.00 99.00 999 1012.2  10.9 999.0   6.9 99.0 99.00
2006 05 03 13 00 340  2.1  2.6 99.00 99.00 99.00 999 1012.1  11.1 999.0   7.1 99.0 99.00
2006 05 03 13 30 360  1.0  1.5  0.10 99.00 99.00 999 1012.0  11.5 999.0   7.1 99.0 99.00
2006 05 03 14 00   0  0.0  0.5 99.00 99.00 99.00 999 1012.1  13.0 999.0   7.3 99.0 99.00
2006 05 03 15 00 250  1.5  2.6 99.00 99.00 99.00 999 1011.7  12.5 999.0   8.0 99.0 99.00
2006 05 03 15 30 160  2.6  3.6 99.00 99.00 99.00 999 1011.4  12.0 999.0   8.3 99.0 99.00
