#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 200  4.1  5.1 99.00 99.00 99.00 999 1029.1   4.4 999.0  -0.6 99.0 99.00
2007 01 01 00 30 190  3.6  4.6 99.00 99.00 99.00 999 1028.8   4.4 999.0  -0.4 99.0 99.00
2007 01 01 01 00 190  3.6  4.1  0.10 99.00 99.00 999 1028.6   4.8 999.0  -0.1 99.0 99.00
2007 01 01 01 30 180  4.1  5.1 99.00 99.00 99.00 999 1028.0   5.2 999.0   0.2 99.0 99.00
2007 01 01 02 00 160  4.1  4.6  0.10 99.00 99.00 999 1027.4   5.3 999.0   0.4 99.0 99.00
2007 01 01 02 30 170  3.1  3.6 99.00 99.00 99.00 999 1027.4   5.3 999.0   0.3 99.0 99.00
2007 01 01 03 00 150  2.6  3.6  0.00 99.00 99.00 999 1027.0   5.5 999.0   0.5 99.0 99.00
2007 01 01 03 30 150  2.6  3.1 99.00 99.00 99.00 999 1026.8   5.6 999.0   0.8 99.0 99.00
2007 01 01 04 00 140  3.1  3.6  0.00 99.00 99.00 999 1026.4   5.8 999.0   1.3 99.0 99.00
2007 01 01 04 30 130  3.1  3.6 99.00 99.00 99.00 999 1026.0   5.8 999.0   1.7 99.0 99.00
2007 01 01 05 00 120  3.1  4.1  0.00 99.00 99.00 999 1025.7   5.8 999.0   1.8 99.0 99.00
2007 01 01 05 30 110  4.1  4.6 99.00 99.00 99.00 999 1025.0   5.9 999.0   2.1 99.0 99.00
2007 01 01 06 00 110  3.6  4.6  0.00 99.00 99.00 999 1024.6   6.0 999.0   2.3 99.0 99.00
2007 01 01 06 30 120  4.1  4.6 99.00 99.00 99.00 999 1024.1   6.2 999.0   3.0 99.0 99.00
