#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 45 300  6.7 11.3  0.30  2.00 99.00 999 9999.0 -10.1 999.0 -16.5 99.0 99.00
2018 01 01 00 49 310  7.2 11.3  0.40  2.00 99.00 999 9999.0 -10.2 999.0 -16.8 99.0 99.00
2018 01 01 01 45 300  7.2 12.4  0.40  2.00 99.00 999 9999.0 -10.3 999.0 -16.6 99.0 99.00
2018 01 01 01 49 310  6.7 10.8  0.30  2.00 99.00 999 9999.0 -10.5 999.0 -16.2 99.0 99.00
2018 01 01 02 45 300  7.2 12.4  0.30  2.00 99.00 999 9999.0 -10.8 999.0 -16.2 99.0 99.00
2018 01 01 02 49 300  7.2 10.3  0.40  2.00 99.00 999 9999.0 -10.9 999.0 -15.8 99.0 99.00
2018 01 01 03 45 300  6.7  9.3  0.40  2.00 99.00 999 9999.0 -11.1 999.0 -15.9 99.0 99.00
2018 01 01 03 49 310  6.2  9.8  0.30  2.00 99.00 999 9999.0 -11.2 999.0 -15.9 99.0 99.00
2018 01 01 04 45 320  6.2  9.8  0.30  2.00 99.00 999 9999.0 -11.4 999.0 -16.5 99.0 99.00
2018 01 01 04 49 310  6.7  9.8  0.20 99.00 99.00 999 9999.0 -11.5 999.0 -16.3 99.0 99.00
2018 01 01 05 45 310  7.2  9.8  0.20 99.00 99.00 999 9999.0 -11.4 999.0 -16.2 99.0 99.00
2018 01 01 05 49 310  6.2  8.8  0.20 99.00 99.00 999 9999.0 -11.6 999.0 -16.2 99.0 99.00
2018 01 01 06 45 320  6.2  9.8  0.10 99.00 99.00 999 9999.0 -11.7 999.0 -16.3 99.0 99.00
2018 01 01 07 19 310  5.7  8.8  0.10 99.00 99.00 999 9999.0 -11.8 999.0 -16.5 99.0 99.00
2018 01 01 07 45 310  6.7  9.8  0.20 99.00 99.00 999 9999.0 -11.7 999.0 -16.5 99.0 99.00
2018 01 01 07 49 310  6.2 11.8  0.10 99.00 99.00 999 9999.0 -11.9 999.0 -16.7 99.0 99.00
2018 01 01 08 45 310  5.7  9.3  0.10 99.00 99.00 999 9999.0 -11.9 999.0 -16.6 99.0 99.00
2018 01 01 08 49 290  6.2 10.3  0.20 99.00 99.00 999 9999.0 -12.2 999.0 -16.7 99.0 99.00
2018 01 01 09 45 300  7.7 11.3  0.30  2.00 99.00 999 9999.0 -12.2 999.0 -16.3 99.0 99.00
2018 01 01 09 49 300  7.2 10.8  0.30  2.00 99.00 999 9999.0 -12.3 999.0 -16.1 99.0 99.00
2018 01 01 10 45 300  6.2 10.3  0.30  2.00 99.00 999 9999.0 -12.4 999.0 -16.4 99.0 99.00
2018 01 01 10 49 310  6.7  9.8  0.20 99.00 99.00 999 9999.0 -12.5 999.0 -16.5 99.0 99.00
2018 01 01 11 45 300  6.2  8.8  0.20 99.00 99.00 999 9999.0 -12.6 999.0 -16.8 99.0 99.00
2018 01 01 11 49 310  4.6 10.3  0.10 99.00 99.00 999 9999.0 -12.6 999.0 -16.8 99.0 99.00
2018 01 01 12 45 300  5.7  9.3  0.20 99.00 99.00 999 9999.0 -12.5 999.0 -16.7 99.0 99.00
2018 01 01 12 49 300  5.7  8.2  0.20 99.00 99.00 999 9999.0 -12.2 999.0 -16.6 99.0 99.00
2018 01 01 13 45 310  4.6  7.7  0.20 99.00 99.00 999 9999.0 -12.1 999.0 -16.8 99.0 99.00
2018 01 01 13 49 330  3.6  6.2  0.10 99.00 99.00 999 9999.0 -12.1 999.0 -17.1 99.0 99.00
2018 01 01 14 45 310  4.1  8.2  0.10 99.00 99.00 999 9999.0 -11.4 999.0 -17.1 99.0 99.00
2018 01 01 14 49 300  5.7 10.3  0.20 99.00 99.00 999 9999.0 -10.9 999.0 -16.8 99.0 99.00
2018 01 01 15 45 320  6.2  9.8  0.20 99.00 99.00 999 9999.0 -10.5 999.0 -17.3 99.0 99.00
2018 01 01 15 49 310  6.7  9.8  0.30  2.00 99.00 999 9999.0 -10.1 999.0 -17.3 99.0 99.00
