#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 01 00 999 99.0 99.0  1.19  4.35  3.61 349 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 01 30 999 99.0 99.0  1.16  4.76  3.74 356 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 02 00 999 99.0 99.0  1.25  5.00  3.68 358 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 02 30 999 99.0 99.0  1.20  4.76  3.69 358 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 04 00 999 99.0 99.0  1.36  5.00  3.88 358 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 01 04 30 999 99.0 99.0  1.23  4.76  3.87 349 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 01 05 00 999 99.0 99.0  1.43  4.76  4.07 349 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 05 30 999 99.0 99.0  1.32  4.76  3.93 349 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 08 00 999 99.0 99.0  1.49  5.26  4.23 351 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 09 30 999 99.0 99.0  1.62  5.56  4.35 355 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 10 00 999 99.0 99.0  1.59  5.56  4.34 352 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 11 30 999 99.0 99.0  1.72  5.56  4.46 354 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 13 30 999 99.0 99.0  1.60  5.56  4.18 358 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 01 14 00 999 99.0 99.0  1.58  5.26  4.08 358 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 01 15 30 999 99.0 99.0  1.55  5.00  4.04 354 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 16 30 999 99.0 99.0  1.44  5.00  3.95 354 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 17 00 999 99.0 99.0  1.30  5.26  3.87   2 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 17 30 999 99.0 99.0  1.24  4.35  3.84 340 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 18 00 999 99.0 99.0  1.27  4.55  3.91 340 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 18 30 999 99.0 99.0  1.31  4.76  4.02 354 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 19 00 999 99.0 99.0  1.26  5.00  3.95 358 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 19 30 999 99.0 99.0  1.22  4.35  3.85 344 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 20 00 999 99.0 99.0  1.28  5.00  4.01 352 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 20 30 999 99.0 99.0  1.21  5.00  3.94 352 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 01 21 30 999 99.0 99.0  1.18  4.76  3.96 351 9999.0 999.0   7.3 999.0 99.0 99.00
2018 01 01 22 30 999 99.0 99.0  1.14  5.00  3.91 356 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 01 23 00 999 99.0 99.0  1.14  4.55  3.80 356 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 01 23 30 999 99.0 99.0  1.15  4.55  3.72 359 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 02 00 00 999 99.0 99.0  1.25  4.76  3.82 358 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 02 02 00 999 99.0 99.0  1.20  4.00  3.67 293 9999.0 999.0   7.1 999.0 99.0 99.00
2018 01 02 02 30 999 99.0 99.0  1.16  3.85  3.61 293 9999.0 999.0   7.2 999.0 99.0 99.00
2018 01 02 03 30 999 99.0 99.0  1.24  3.85  3.52 286 9999.0 999.0   7.1 999.0 99.0 99.00
