YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 275  5.0  6.3 99.00 99.00 99.00 999 1018.9  -2.8 999.0 999.0 99.0
1999 01 01 01 292  5.0  5.6 99.00 99.00 99.00 999 1018.4  -2.9 999.0 999.0 99.0
1999 01 01 02 309  5.8  6.4 99.00 99.00 99.00 999 1017.7  -3.0 999.0 999.0 99.0
1999 01 01 03 298  5.1  6.4 99.00 99.00 99.00 999 1017.7  -3.2 999.0 999.0 99.0
1999 01 01 04 292  4.6  5.9 99.00 99.00 99.00 999 1017.7  -3.3 999.0 999.0 99.0
1999 01 01 05 289  6.5  7.2 99.00 99.00 99.00 999 1017.4  -3.6 999.0 999.0 99.0
1999 01 01 06 276  6.9  9.2 99.00 99.00 99.00 999 1017.2  -3.5 999.0 999.0 99.0
1999 01 01 07 260 10.1 11.1 99.00 99.00 99.00 999 1017.4  -3.4 999.0 999.0 99.0
1999 01 01 08 265 10.4 12.3 99.00 99.00 99.00 999 1017.1  -3.4 999.0 999.0 99.0
1999 01 01 09 254  9.6 10.7 99.00 99.00 99.00 999 1016.6  -3.1 999.0 999.0 99.0
1999 01 01 10 274  9.0  9.9 99.00 99.00 99.00 999 1016.4  -3.5 999.0 999.0 99.0
1999 01 01 11 268  9.8 11.7 99.00 99.00 99.00 999 1016.9  -3.6 999.0 999.0 99.0
1999 01 01 12 269 10.1 11.3 99.00 99.00 99.00 999 1017.0  -3.3 999.0 999.0 99.0
1999 01 01 13 267 11.7 13.0 99.00 99.00 99.00 999 1017.1  -3.6 999.0 999.0 99.0
1999 01 01 14 268 14.0 15.7 99.00 99.00 99.00 999 1017.5  -3.3 999.0 999.0 99.0
1999 01 01 15 272 13.9 15.6 99.00 99.00 99.00 999 1018.2  -2.8 999.0 999.0 99.0
1999 01 01 16 260 12.8 15.1 99.00 99.00 99.00 999 1018.2  -2.7 999.0 999.0 99.0
1999 01 01 17 279 12.9 14.6 99.00 99.00 99.00 999 1017.8  -2.1 999.0 999.0 99.0
1999 01 01 18 293 15.7 17.4 99.00 99.00 99.00 999 1018.3  -2.3 999.0 999.0 99.0
1999 01 01 19 289 15.8 17.7 99.00 99.00 99.00 999 1019.7  -2.8 999.0 999.0 99.0
1999 01 01 20 304 14.9 16.0 99.00 99.00 99.00 999 1021.0  -3.1 999.0 999.0 99.0
1999 01 01 21 282 16.2 17.9 99.00 99.00 99.00 999 1022.1  -3.4 999.0 999.0 99.0
1999 01 01 22 299 18.9 20.8 99.00 99.00 99.00 999 1024.1  -4.6 999.0 999.0 99.0
1999 01 01 23 288 18.9 20.6 99.00 99.00 99.00 999 1026.0  -6.3 999.0 999.0 99.0
1999 01 02 00 288 16.5 18.6 99.00 99.00 99.00 999 1027.8  -6.9 999.0 999.0 99.0
1999 01 02 01 301 16.2 18.9 99.00 99.00 99.00 999 1029.2  -8.0 999.0 999.0 99.0
1999 01 02 02 300 15.4 19.0 99.00 99.00 99.00 999 1030.6  -9.2 999.0 999.0 99.0
1999 01 02 03 300 14.6 17.4 99.00 99.00 99.00 999 1031.6 -10.0 999.0 999.0 99.0
1999 01 02 04 297 14.1 16.4 99.00 99.00 99.00 999 1032.8 -10.6 999.0 999.0 99.0
1999 01 02 05 302 15.9 17.6 99.00 99.00 99.00 999 1033.2 -11.1 999.0 999.0 99.0
1999 01 02 06 307 13.6 15.3 99.00 99.00 99.00 999 1033.8 -11.7 999.0 999.0 99.0
1999 01 02 07 322 11.3 13.0 99.00 99.00 99.00 999 1034.4 -12.0 999.0 999.0 99.0
1999 01 02 08 336 10.5 11.8 99.00 99.00 99.00 999 1034.5 -12.3 999.0 999.0 99.0
1999 01 02 09 327 10.1 12.0 99.00 99.00 99.00 999 1034.5 -12.7 999.0 999.0 99.0
1999 01 02 10 320  9.0 10.3 99.00 99.00 99.00 999 1035.3 -12.8 999.0 999.0 99.0
1999 01 02 11 306  8.5 10.1 99.00 99.00 99.00 999 1035.6 -12.8 999.0 999.0 99.0
1999 01 02 12 304  8.6 10.2 99.00 99.00 99.00 999 1035.8 -12.7 999.0 999.0 99.0
1999 01 02 13 302  8.4  9.8 99.00 99.00 99.00 999 1036.2 -13.2 999.0 999.0 99.0
1999 01 02 14 297  8.1  9.5 99.00 99.00 99.00 999 1036.5 -12.7 999.0 999.0 99.0
1999 01 02 15 300  6.0  7.0 99.00 99.00 99.00 999 1036.3 -11.9 999.0 999.0 99.0
1999 01 02 16 294  5.9  6.6 99.00 99.00 99.00 999 1036.1 -10.9 999.0 999.0 99.0
1999 01 02 17 307  6.9  8.3 99.00 99.00 99.00 999 1035.1  -9.5 999.0 999.0 99.0
