YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 276 18.2 21.1  2.54  7.69  5.29 999 1005.1  -1.6 999.0  -8.7 99.0 99.00
2001 01 01 01 276 16.5 18.1  2.28  5.56  5.20 999 1006.2  -2.1 999.0  -8.8 99.0 99.00
2001 01 01 02 268 15.2 17.5  2.41  8.33  5.40 999 1007.0  -2.4 999.0  -8.7 99.0 99.00
2001 01 01 03 281 14.6 16.2  2.42 10.00  5.55 999 1007.6  -2.8 999.0  -9.1 99.0 99.00
2001 01 01 04 272 14.2 17.6  2.52  8.33  4.99 999 1008.3  -2.8 999.0  -8.6 99.0 99.00
2001 01 01 05 278 14.9 16.3  2.27  8.33  5.50 999 1008.7  -3.1 999.0  -9.5 99.0 99.00
2001 01 01 06 280 14.4 16.9  2.08 11.11  5.27 999 1009.7  -3.1 999.0  -9.7 99.0 99.00
2001 01 01 07 282 15.5 17.6  1.98  7.14  5.34 999 1010.3  -3.1 999.0  -9.3 99.0 99.00
2001 01 01 08 277 14.5 15.8  2.11  7.69  5.36 999 1011.6  -3.3 999.0  -9.0 99.0 99.00
2001 01 01 09 277 14.6 16.5  2.22  7.14  5.34 999 1011.7  -3.3 999.0  -8.6 99.0 99.00
2001 01 01 10 281 14.4 16.4  1.92  6.25  5.07 999 1012.2  -3.4 999.0  -8.5 99.0 99.00
2001 01 01 11 283 14.5 15.9  1.88  5.26  5.05 999 1012.9  -3.3 999.0  -8.7 99.0 99.00
2001 01 01 12 287 12.4 14.4  1.79  6.67  5.10 999 1014.3  -3.1 999.0  -8.6 99.0 99.00
2001 01 01 13 277 12.4 13.9  1.73 10.00  5.13 999 1014.9  -3.3 999.0  -8.9 99.0 99.00
2001 01 01 14 282 11.8 13.2  1.54  5.26  4.81 999 1015.7  -3.2 999.0  -8.6 99.0 99.00
2001 01 01 15 289 11.5 12.8  1.52 10.00  5.04 999 1016.7  -2.9 999.0  -9.0 99.0 99.00
2001 01 01 16 301  7.7  8.8  1.64  9.09  5.28 999 1016.5  -2.4 999.0  -8.7 99.0 99.00
2001 01 01 17 297  7.5  8.1  1.37  9.09  5.45 999 1016.1  -1.5 999.0  -8.7 99.0 99.00
2001 01 01 18 311  8.4  9.2 99.00 99.00 99.00 999 1015.8  -0.5 999.0  -8.0 99.0 99.00
2001 01 01 19 301  6.9  8.0 99.00 99.00 99.00 999 1016.1   0.2 999.0  -7.4 99.0 99.00
2001 01 01 20 310  8.5  9.6  1.00 10.00  4.88 999 1016.6   0.6 999.0  -7.7 99.0 99.00
2001 01 01 21 310  7.3  8.2  1.09  6.67  5.10 999 1017.4   0.6 999.0  -8.1 99.0 99.00
2001 01 01 22 309  7.2  8.1  0.95  9.09  4.96 999 1018.0   0.4 999.0  -7.5 99.0 99.00
2001 01 01 23 321  6.7  7.4 99.00 99.00 99.00 999 1018.7   0.1 999.0  -7.0 99.0 99.00
2001 01 02 00 311  6.9  7.7  0.87  9.09  5.09 999 1019.4  -0.7 999.0  -7.9 99.0 99.00
2001 01 02 01 311  5.4  6.1  0.79 10.00  5.27 999 1019.8  -1.1 999.0  -7.6 99.0 99.00
2001 01 02 02 317  7.4  8.2  0.79  9.09  5.31 999 1020.1  -1.6 999.0  -8.0 99.0 99.00
2001 01 02 03 328  8.5  9.3 99.00 99.00 99.00 999 1020.0  -2.0 999.0  -8.2 99.0 99.00
2001 01 02 04 340  9.6 10.8 99.00 99.00 99.00 999 1019.9  -2.7 999.0  -8.2 99.0 99.00
2001 01 02 05 344 10.3 11.1 99.00 99.00 99.00 999 1019.7  -3.1 999.0  -8.3 99.0 99.00
2001 01 02 06 345 10.1 11.2  0.75  9.09  3.80 999 1019.6  -3.6 999.0  -8.4 99.0 99.00
2001 01 02 07 348  9.2 10.1  0.69  9.09  4.00 999 1019.7  -3.9 999.0  -8.6 99.0 99.00
2001 01 02 08 343  9.0  9.8  0.65  9.09  4.12 999 1020.0  -4.3 999.0  -8.9 99.0 99.00
2001 01 02 09 334  7.8  8.3  0.60  9.09  4.09 999 1019.8  -4.5 999.0  -8.5 99.0 99.00
2001 01 02 10 337  8.2  9.7  0.58  9.09  3.98 999 1020.3  -4.9 999.0  -8.6 99.0 99.00
2001 01 02 11 342  8.4  8.9  0.62  7.14  4.12 999 1020.6  -5.2 999.0  -9.0 99.0 99.00
2001 01 02 12 333  8.2  8.8  0.62  2.86  3.81 999 1021.0  -5.6 999.0  -9.5 99.0 99.00
2001 01 02 13 328  8.1  9.2  0.60  2.78  3.68 999 1021.2  -5.8 999.0  -9.4 99.0 99.00
2001 01 02 14 330  9.5 10.5  0.60  3.03  3.63 999 1021.3  -5.8 999.0  -9.7 99.0 99.00
