YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 218 12.3 13.2 99.00 99.00 99.00 999 1017.3   6.0 999.0 999.0 99.0 99.00
2004 01 01 01 227 14.9 16.5 99.00 99.00 99.00 999 1016.6   6.2 999.0 999.0 99.0 99.00
2004 01 01 02 227 13.3 14.9 99.00 99.00 99.00 999 1016.0   6.6 999.0 999.0 99.0 99.00
2004 01 01 03 234 15.2 17.3 99.00 99.00 99.00 999 1015.3   6.7 999.0 999.0 99.0 99.00
2004 01 01 04 242 15.6 18.1 99.00 99.00 99.00 999 1014.6   6.8 999.0 999.0 99.0 99.00
2004 01 01 05 252 16.0 17.9 99.00 99.00 99.00 999 1013.9   6.8 999.0 999.0 99.0 99.00
2004 01 01 06 268 15.2 16.9 99.00 99.00 99.00 999 1015.2   6.8 999.0 999.0 99.0 99.00
2004 01 01 07 260 12.1 13.5 99.00 99.00 99.00 999 1015.6   6.7 999.0 999.0 99.0 99.00
2004 01 01 08 265 12.0 13.0 99.00 99.00 99.00 999 1016.6   6.6 999.0 999.0 99.0 99.00
2004 01 01 09 280 15.1 16.4 99.00 99.00 99.00 999 1017.7   5.9 999.0 999.0 99.0 99.00
2004 01 01 10 290 12.3 13.2 99.00 99.00 99.00 999 1019.1   5.1 999.0 999.0 99.0 99.00
2004 01 01 11 295 12.4 13.6 99.00 99.00 99.00 999 1020.2   4.2 999.0 999.0 99.0 99.00
2004 01 01 12 289 10.6 12.0 99.00 99.00 99.00 999 1021.4   3.7 999.0 999.0 99.0 99.00
2004 01 01 13 284 12.1 12.8 99.00 99.00 99.00 999 1022.6   3.5 999.0 999.0 99.0 99.00
2004 01 01 14 282 10.8 11.8 99.00 99.00 99.00 999 1023.9   3.6 999.0 999.0 99.0 99.00
2004 01 01 15 291  9.6 11.0 99.00 99.00 99.00 999 1024.0   3.8 999.0 999.0 99.0 99.00
2004 01 01 16 298  9.8 10.6 99.00 99.00 99.00 999 1023.6   4.2 999.0 999.0 99.0 99.00
2004 01 01 17 287  9.1 10.3 99.00 99.00 99.00 999 1022.9   4.5 999.0 999.0 99.0 99.00
2004 01 01 18 300  8.5  9.2 99.00 99.00 99.00 999 1022.8   5.0 999.0 999.0 99.0 99.00
2004 01 01 19 305  8.1  8.8 99.00 99.00 99.00 999 1022.8   5.1 999.0 999.0 99.0 99.00
2004 01 01 20 301  8.1  8.9 99.00 99.00 99.00 999 1023.2   5.2 999.0 999.0 99.0 99.00
2004 01 01 21 305  7.4  7.8 99.00 99.00 99.00 999 1023.8   5.4 999.0 999.0 99.0 99.00
2004 01 01 22 299  9.2  9.8 99.00 99.00 99.00 999 1024.3   5.1 999.0 999.0 99.0 99.00
2004 01 01 23 292  9.4 10.2 99.00 99.00 99.00 999 1025.0   4.8 999.0 999.0 99.0 99.00
2004 01 02 00 300  8.6  9.6 99.00 99.00 99.00 999 1025.6   4.3 999.0 999.0 99.0 99.00
2004 01 02 01 301  8.2  9.0 99.00 99.00 99.00 999 1026.0   4.0 999.0 999.0 99.0 99.00
2004 01 02 02 298  8.1  8.7 99.00 99.00 99.00 999 1026.1   3.7 999.0 999.0 99.0 99.00
2004 01 02 03 307  5.8  6.1 99.00 99.00 99.00 999 1026.3   3.5 999.0 999.0 99.0 99.00
2004 01 02 04 306  6.1  6.6 99.00 99.00 99.00 999 1026.5   3.5 999.0 999.0 99.0 99.00
2004 01 02 05 322  5.5  6.1 99.00 99.00 99.00 999 1026.0   3.0 999.0 999.0 99.0 99.00
2004 01 02 06 318  4.4  4.9 99.00 99.00 99.00 999 1026.1   2.8 999.0 999.0 99.0 99.00
2004 01 02 07 319  2.9  3.3 99.00 99.00 99.00 999 1026.0   2.7 999.0 999.0 99.0 99.00
2004 01 02 08 323  2.1  2.6 99.00 99.00 99.00 999 1025.8   2.7 999.0 999.0 99.0 99.00
2004 01 02 09   1  2.0  2.3 99.00 99.00 99.00 999 1024.9   2.5 999.0 999.0 99.0 99.00
2004 01 02 10  45  1.9  2.1 99.00 99.00 99.00 999 1024.4   2.6 999.0 999.0 99.0 99.00
2004 01 02 11 103  1.2  1.7 99.00 99.00 99.00 999 1024.2   2.8 999.0 999.0 99.0 99.00
2004 01 02 12 155  3.2  3.6 99.00 99.00 99.00 999 1024.5   3.2 999.0 999.0 99.0 99.00
2004 01 02 13 194  1.8  2.2 99.00 99.00 99.00 999 1025.1   3.7 999.0 999.0 99.0 99.00
2004 01 02 14 167  2.2  2.7 99.00 99.00 99.00 999 1025.4   4.1 999.0 999.0 99.0 99.00
2004 01 02 15 183  1.2  1.8 99.00 99.00 99.00 999 1025.1   2.5 999.0 999.0 99.0 99.00
2004 01 02 16  82  2.4  2.7 99.00 99.00 99.00 999 1023.7   2.7 999.0 999.0 99.0 99.00
2004 01 02 17  81  4.1  4.5 99.00 99.00 99.00 999 1021.9   3.0 999.0 999.0 99.0 99.00
