YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 200  8.1  8.3 99.00 99.00 99.00 999 1024.8  10.1 999.0 999.0 99.0 99.00
2005 01 01 01 00 195 11.5 11.8 99.00 99.00 99.00 999 1024.0  10.3 999.0 999.0 99.0 99.00
2005 01 01 02 00 193 12.1 12.7 99.00 99.00 99.00 999 1023.5   9.9 999.0 999.0 99.0 99.00
2005 01 01 03 00 205 12.3 12.9 99.00 99.00 99.00 999 1022.6   9.9 999.0 999.0 99.0 99.00
2005 01 01 04 00 219 12.7 13.4 99.00 99.00 99.00 999 1022.4   9.6 999.0 999.0 99.0 99.00
2005 01 01 05 00 223 13.0 13.9 99.00 99.00 99.00 999 1022.0   9.6 999.0 999.0 99.0 99.00
2005 01 01 06 00 219 12.6 13.5 99.00 99.00 99.00 999 1020.9   9.5 999.0 999.0 99.0 99.00
2005 01 01 07 00 222 11.8 12.5 99.00 99.00 99.00 999 1021.0   9.4 999.0 999.0 99.0 99.00
2005 01 01 08 00 226 11.0 11.7 99.00 99.00 99.00 999 1020.6   9.3 999.0 999.0 99.0 99.00
2005 01 01 09 00 231 11.2 12.2 99.00 99.00 99.00 999 1020.1   9.2 999.0 999.0 99.0 99.00
2005 01 01 10 00 227 10.8 11.8 99.00 99.00 99.00 999 1019.5   8.9 999.0 999.0 99.0 99.00
2005 01 01 11 00 227 10.2 10.6 99.00 99.00 99.00 999 1020.1   8.9 999.0 999.0 99.0 99.00
2005 01 01 12 00 228 10.0 10.7 99.00 99.00 99.00 999 1020.5   9.4 999.0 999.0 99.0 99.00
2005 01 01 13 00 229  9.6 10.1 99.00 99.00 99.00 999 1020.9   8.9 999.0 999.0 99.0 99.00
2005 01 01 14 00 225  9.7 10.3 99.00 99.00 99.00 999 1021.5   8.8 999.0 999.0 99.0 99.00
2005 01 01 15 00 237  9.3  9.7 99.00 99.00 99.00 999 1022.5   8.6 999.0 999.0 99.0 99.00
2005 01 01 16 00 246 10.1 10.8 99.00 99.00 99.00 999 1022.3   8.4 999.0 999.0 99.0 99.00
2005 01 01 17 00 253  8.5  8.9 99.00 99.00 99.00 999 1022.5   8.2 999.0 999.0 99.0 99.00
2005 01 01 18 00 284  9.8 10.5 99.00 99.00 99.00 999 1022.7   9.6 999.0 999.0 99.0 99.00
2005 01 01 19 00 304  9.1 10.8 99.00 99.00 99.00 999 1023.5   9.9 999.0 999.0 99.0 99.00
2005 01 01 20 00 321  9.4 10.1 99.00 99.00 99.00 999 1025.0   9.4 999.0 999.0 99.0 99.00
2005 01 01 21 00 319  8.8  9.4 99.00 99.00 99.00 999 1026.4   8.5 999.0 999.0 99.0 99.00
2005 01 01 22 00 303  7.6  7.9 99.00 99.00 99.00 999 1028.0   7.8 999.0 999.0 99.0 99.00
2005 01 01 23 00 298  6.7  7.6 99.00 99.00 99.00 999 1029.5   6.8 999.0 999.0 99.0 99.00
2005 01 02 00 00 301  7.5  8.3 99.00 99.00 99.00 999 1030.7   6.4 999.0 999.0 99.0 99.00
2005 01 02 01 00 296  8.1  8.8 99.00 99.00 99.00 999 1031.2   5.6 999.0 999.0 99.0 99.00
2005 01 02 02 00 301  9.1  9.9 99.00 99.00 99.00 999 1032.0   5.0 999.0 999.0 99.0 99.00
2005 01 02 03 00 317  7.6  8.2 99.00 99.00 99.00 999 1033.2   4.6 999.0 999.0 99.0 99.00
2005 01 02 04 00 322  4.6  5.5 99.00 99.00 99.00 999 1034.3   4.3 999.0 999.0 99.0 99.00
2005 01 02 05 00 345  4.3  5.0 99.00 99.00 99.00 999 1034.5   3.9 999.0 999.0 99.0 99.00
2005 01 02 06 00 357 10.0 11.2 99.00 99.00 99.00 999 1034.1   3.3 999.0 999.0 99.0 99.00
2005 01 02 07 00  12  8.2  9.7 99.00 99.00 99.00 999 1035.2   2.3 999.0 999.0 99.0 99.00
2005 01 02 08 00   7  8.6  9.4 99.00 99.00 99.00 999 1035.9   1.4 999.0 999.0 99.0 99.00
2005 01 02 09 00   7  8.6  9.9 99.00 99.00 99.00 999 1036.3   0.8 999.0 999.0 99.0 99.00
2005 01 02 10 00   6  7.9  9.3 99.00 99.00 99.00 999 1037.2   0.6 999.0 999.0 99.0 99.00
2005 01 02 11 00   6  8.8  9.6 99.00 99.00 99.00 999 1038.0   0.2 999.0 999.0 99.0 99.00
2005 01 02 12 00   5  6.8  7.3 99.00 99.00 99.00 999 1038.6   0.3 999.0 999.0 99.0 99.00
2005 01 02 13 00  17  6.7  7.2 99.00 99.00 99.00 999 1039.1   0.5 999.0 999.0 99.0 99.00
2005 01 02 14 00  45  6.6  7.3 99.00 99.00 99.00 999 1039.6   1.4 999.0 999.0 99.0 99.00
2005 01 02 15 00  60  7.7  8.8 99.00 99.00 99.00 999 1039.6   2.5 999.0 999.0 99.0 99.00
2005 01 02 16 00  68  7.2  7.8 99.00 99.00 99.00 999 1039.8   2.4 999.0 999.0 99.0 99.00
2005 01 02 17 00  72  7.0  7.8 99.00 99.00 99.00 999 1038.7   2.4 999.0 999.0 99.0 99.00
2005 01 02 18 00  69  5.5  5.9 99.00 99.00 99.00 999 1037.8   2.6 999.0 999.0 99.0 99.00
2005 01 02 19 00 135  5.5  6.5 99.00 99.00 99.00 999 1037.5   2.6 999.0 999.0 99.0 99.00
2005 01 02 20 00 133  4.6  5.1 99.00 99.00 99.00 999 1037.1   2.8 999.0 999.0 99.0 99.00
2005 01 02 21 00 161  4.8  5.6 99.00 99.00 99.00 999 1037.0   3.5 999.0 999.0 99.0 99.00
2005 01 02 22 00 156  7.9  8.3 99.00 99.00 99.00 999 1035.6   4.1 999.0 999.0 99.0 99.00
2005 01 02 23 00 164  7.8  8.3 99.00 99.00 99.00 999 1034.9   4.8 999.0 999.0 99.0 99.00
2005 01 03 00 00 161  8.7  9.2 99.00 99.00 99.00 999 1033.7   5.3 999.0 999.0 99.0 99.00
2005 01 03 01 00 162 10.3 11.2 99.00 99.00 99.00 999 1032.7   5.9 999.0 999.0 99.0 99.00
2005 01 03 02 00 168 10.3 11.0 99.00 99.00 99.00 999 1032.1   6.6 999.0 999.0 99.0 99.00
