#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 00  26  7.7  8.6 99.00 99.00 99.00 999 1018.0   0.7   5.3   0.7 99.0 99.00
2010 01 01 01 00  32  7.1  7.8 99.00 99.00 99.00 999 1017.4   0.8   5.4   0.8 99.0 99.00
2010 01 01 02 00  30  6.9  7.7 99.00 99.00 99.00 999 1016.8   0.8   5.2   0.8 99.0 99.00
2010 01 01 03 00  14  5.9  6.3 99.00 99.00 99.00 999 1016.2   0.9   5.0   0.9 99.0 99.00
2010 01 01 04 00  15  6.4  6.9 99.00 99.00 99.00 999 1015.5   1.0   4.8   1.0 99.0 99.00
2010 01 01 05 00  10  4.7  5.5 99.00 99.00 99.00 999 1014.8   0.7   4.8   0.7 99.0 99.00
2010 01 01 06 00 355  5.2  5.9 99.00 99.00 99.00 999 1014.0   0.6   4.6   0.6 99.0 99.00
2010 01 01 07 00 352  5.8  6.4 99.00 99.00 99.00 999 1014.2   0.3   4.6   0.3 99.0 99.00
2010 01 01 08 00 359  6.4  6.7 99.00 99.00 99.00 999 1013.9   0.1   4.7   0.1 99.0 99.00
2010 01 01 09 00 356  6.4  6.8 99.00 99.00 99.00 999 1013.5  -0.1   4.8  -0.1 99.0 99.00
2010 01 01 10 00 340  4.5  4.9 99.00 99.00 99.00 999 1013.2   0.0   4.9   0.0 99.0 99.00
2010 01 01 11 00 344  4.9  5.4 99.00 99.00 99.00 999 1013.1  -0.1   5.0  -0.1 99.0 99.00
2010 01 01 12 00 343  5.0  5.6 99.00 99.00 99.00 999 1013.1  -0.2   5.1  -0.2 99.0 99.00
2010 01 01 13 00 348  5.1  5.8 99.00 99.00 99.00 999 1012.8  -0.3   5.1  -0.3 99.0 99.00
2010 01 01 14 00 355  3.9  4.1 99.00 99.00 99.00 999 1012.9   0.0   5.1   0.0 99.0 99.00
