#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 01 00 50 270  7.2  9.3  1.24 10.81  5.58 999 1018.8  -1.5   4.9  -9.8 99.0 99.00
2010 02 01 01 50 280  8.1 10.0  1.20 10.81  5.13 999 1018.6  -0.7   4.9  -9.1 99.0 99.00
2010 02 01 02 50 272  9.2 11.0  1.23 10.81  4.91 999 1018.6  -0.2   4.9  -8.3 99.0 99.00
2010 02 01 03 50 280  9.7 11.3  1.36 10.81  4.63 999 1018.4  -0.1   5.0  -9.5 99.0 99.00
2010 02 01 04 50 284 11.1 14.0  1.51  5.00  4.86 999 1018.5   0.1   5.0  -8.1 99.0 99.00
2010 02 01 05 50 279 11.9 14.5  1.73  5.26  4.88 999 1018.3   0.0   5.0  -9.1 99.0 99.00
2010 02 01 06 50 288 11.6 14.2  1.86  5.88  5.08 999 1018.6  -0.1   5.0  -9.4 99.0 99.00
2010 02 01 07 50 292 11.9 14.8  1.85  6.25  5.08 999 1019.0  -0.6   5.0  -9.0 99.0 99.00
2010 02 01 08 50 296 12.0 14.7 99.00 99.00 99.00 999 1019.3  -0.8   5.0  -8.3 99.0 99.00
2010 02 01 09 50 297 11.1 13.1  2.02  6.67  5.28 999 1019.9  -0.8   5.0  -8.2 99.0 99.00
2010 02 01 10 50 300 11.2 13.7  1.89  7.14  5.17 999 1020.5  -1.0   4.9  -8.1 99.0 99.00
2010 02 01 11 50 293 10.7 13.0  1.95  6.25  5.19 999 1021.6  -1.2   4.9  -8.0 99.0 99.00
2010 02 01 12 50 297 10.5 12.9  1.81  6.67  5.16 999 1022.9  -1.2   5.0  -7.6 99.0 99.00
2010 02 01 13 50 293  9.7 11.7  1.65  6.67  4.87 999 1023.6  -1.2   5.0  -7.3 99.0 99.00
2010 02 01 14 50 291  7.9 10.4  1.81  6.67  5.08 999 1024.0  -1.1   5.0  -7.6 99.0 99.00
2010 02 01 15 50 306  8.4 10.3  1.82  6.25  5.23 999 1023.6  -0.8   5.0  -7.1 99.0 99.00
2010 02 01 16 50 299  5.6  7.2  1.59  6.67  4.93 999 1023.2  -0.6   5.1  -8.1 99.0 99.00
2010 02 01 17 50 294  6.4  8.1  1.49  6.67  5.07 999 1022.4  -0.3   5.1  -7.7 99.0 99.00
2010 02 01 18 50 268  6.6  8.2  1.38  5.88  5.11 999 1022.4   0.0   5.1  -8.2 99.0 99.00
2010 02 01 19 50 271  7.2  8.9  1.21  6.25  4.84 999 1022.2   0.4   5.1  -7.8 99.0 99.00
2010 02 01 20 50 271  7.8  9.8  1.12  5.88  4.57 999 1022.5   0.8   5.1  -8.3 99.0 99.00
2010 02 01 21 50 266  9.0 10.7  1.14  6.67  4.53 999 1022.4   1.1   5.1  -7.2 99.0 99.00
2010 02 01 22 50 267 10.0 12.3  1.15  5.56  4.54 999 1022.7   1.3   5.0  -6.1 99.0 99.00
2010 02 01 23 50 269  9.5 11.4  1.40  4.55  4.67 999 1022.6   1.8   5.0  -5.4 99.0 99.00
2010 02 02 00 50 273  9.5 11.6  1.46  5.00  4.60 999 1022.5   2.0   5.0  -6.1 99.0 99.00
2010 02 02 01 50 278 10.1 12.2  1.44  5.56  4.56 999 1022.7   2.0   5.0  -6.5 99.0 99.00
2010 02 02 02 50 280  9.5 12.4  1.44  5.56  4.47 999 1022.6   1.9   5.0  -7.1 99.0 99.00
2010 02 02 03 50 284  9.0 10.8  1.29  5.56  4.38 999 1022.7   1.9   5.1  -7.4 99.0 99.00
2010 02 02 04 50 279  8.6 10.4  1.25  5.26  4.40 999 1023.3   1.8   5.1  -7.5 99.0 99.00
2010 02 02 05 50 283  8.1  9.3  1.15  5.26  4.29 999 1023.5   1.7   5.0  -6.6 99.0 99.00
2010 02 02 06 50 296  8.2 10.5  1.10  5.00  4.27 999 1023.8   1.6   5.0  -7.5 99.0 99.00
2010 02 02 07 50 309  8.2 10.7  1.16  5.56  4.40 999 1024.0   1.2   5.0  -7.1 99.0 99.00
2010 02 02 08 50   2  5.3  6.5  1.06  5.26  4.28 999 1024.2  -0.1   5.0  -6.4 99.0 99.00
2010 02 02 09 50   2  5.5  7.6  0.99  5.56  4.30 999 1024.2  -0.3   4.9  -7.7 99.0 99.00
2010 02 02 10 50 345  6.3  7.6  0.92  5.56  4.20 999 1024.5  -0.8   4.9  -7.8 99.0 99.00
2010 02 02 11 50 349  5.7  7.0  0.90  5.56  4.17 999 1025.1  -0.9   5.0  -7.6 99.0 99.00
2010 02 02 12 50 352  6.2  7.7  0.89  5.26  4.18 999 1025.5  -1.2   5.0  -8.4 99.0 99.00
2010 02 02 13 50   3  5.7  7.8  0.84  5.26  4.27 999 1025.6  -1.4   5.0  -8.2 99.0 99.00
2010 02 02 14 50   8  4.8  6.1  0.76  5.00  4.22 999 1025.8  -1.4   5.0  -7.8 99.0 99.00
2010 02 02 15 50  19  5.6  6.7  0.69  5.00  4.18 999 1024.8  -1.3   5.0  -8.2 99.0 99.00
