#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 250  4.6  5.7 99.00 99.00 99.00 999 1029.1   4.9   7.8  -0.4 99.0 99.00
2007 01 01 00 15 250  5.1  6.2 99.00 99.00 99.00 999 1029.1   4.9   7.8  -0.3 99.0 99.00
2007 01 01 00 23 250  4.6  6.2  0.20 99.00 99.00 999 1028.9   4.8   7.8  -0.3 99.0 99.00
2007 01 01 00 45 250  4.6  5.7 99.00 99.00 99.00 999 1028.8   4.9   7.8   0.2 99.0 99.00
2007 01 01 01 00 250  4.1  5.7 99.00 99.00 99.00 999 1028.6   4.9   7.8   0.3 99.0 99.00
2007 01 01 01 15 250  4.6  6.2 99.00 99.00 99.00 999 1028.7   5.0   7.8   0.6 99.0 99.00
2007 01 01 01 23 240  4.1  5.1  0.20  2.00 99.00 999 1028.5   5.0   7.8   0.9 99.0 99.00
2007 01 01 01 45 230  3.6  4.6 99.00 99.00 99.00 999 1028.4   5.0   7.8   0.9 99.0 99.00
2007 01 01 02 00 240  4.1  5.1 99.00 99.00 99.00 999 1028.3   5.1   7.9   0.8 99.0 99.00
2007 01 01 02 15 220  3.1  4.6 99.00 99.00 99.00 999 1028.1   5.1   7.9   1.0 99.0 99.00
2007 01 01 02 23 200  3.1  4.1  0.20 99.00 99.00 999 1027.8   5.1   7.9   1.2 99.0 99.00
2007 01 01 02 45 190  3.1  4.1 99.00 99.00 99.00 999 1027.6   5.2   7.8   1.2 99.0 99.00
2007 01 01 03 00 180  3.6  4.6 99.00 99.00 99.00 999 1027.4   5.5   7.8   1.4 99.0 99.00
2007 01 01 03 15 180  4.1  5.1 99.00 99.00 99.00 999 1027.2   5.7   7.7   1.5 99.0 99.00
2007 01 01 03 23 180  4.1  5.1  0.10 99.00 99.00 999 1027.1   5.7   7.7   1.5 99.0 99.00
2007 01 01 03 45 170  4.1  5.1 99.00 99.00 99.00 999 1027.0   5.7   7.8   1.9 99.0 99.00
2007 01 01 04 00 170  4.6  6.2 99.00 99.00 99.00 999 1026.8   5.8   7.8   1.9 99.0 99.00
2007 01 01 04 15 170  5.1  6.7 99.00 99.00 99.00 999 1026.5   6.0   7.7   1.8 99.0 99.00
2007 01 01 04 23 170  4.1  5.7  0.20 99.00 99.00 999 1026.3   5.9   7.8   2.0 99.0 99.00
2007 01 01 04 45 170  3.6  4.6 99.00 99.00 99.00 999 1026.2   6.0   7.8   2.0 99.0 99.00
2007 01 01 05 00 170  4.1  5.1 99.00 99.00 99.00 999 1025.9   6.1   7.8   2.2 99.0 99.00
2007 01 01 05 15 170  3.6  4.6 99.00 99.00 99.00 999 1025.7   6.1   7.8   2.3 99.0 99.00
2007 01 01 05 23 160  3.6  4.6  0.20 99.00 99.00 999 1025.4   6.1   7.8   2.5 99.0 99.00
2007 01 01 05 45 160  3.6  4.6 99.00 99.00 99.00 999 1025.3   6.2   7.8   2.7 99.0 99.00
2007 01 01 06 00 160  3.6  5.1 99.00 99.00 99.00 999 1025.0   6.2   7.8   2.9 99.0 99.00
2007 01 01 06 15 160  3.6  4.6 99.00 99.00 99.00 999 1024.9   6.3   7.8   3.0 99.0 99.00
2007 01 01 06 23 170  3.6  4.1  0.10 99.00 99.00 999 1025.0   6.3   7.8   3.1 99.0 99.00
2007 01 01 06 45 170  4.1  5.1 99.00 99.00 99.00 999 1024.7   6.5   7.8   3.3 99.0 99.00
2007 01 01 07 00 180  4.6  6.7 99.00 99.00 99.00 999 1024.5   6.8   7.8   3.6 99.0 99.00
2007 01 01 07 15 200  5.7  7.2 99.00 99.00 99.00 999 1024.2   7.1   7.7   3.9 99.0 99.00
2007 01 01 07 23 190  6.2  7.7  0.20 99.00 99.00 999 1023.7   7.1   7.7   4.0 99.0 99.00
2007 01 01 07 45 200  6.7  8.2 99.00 99.00 99.00 999 1023.5   7.2   7.7   4.2 99.0 99.00
2007 01 01 08 00 200  6.7  7.7 99.00 99.00 99.00 999 1023.5   7.4   7.7   4.8 99.0 99.00
2007 01 01 08 15 200  6.2  7.7 99.00 99.00 99.00 999 1023.2   7.6   7.7   5.1 99.0 99.00
2007 01 01 08 23 190  7.2  8.8  0.40  3.00 99.00 999 1022.3   7.6   7.7   5.2 99.0 99.00
2007 01 01 08 45 180  7.2  8.8 99.00 99.00 99.00 999 1021.6   7.6   7.7   5.5 99.0 99.00
2007 01 01 09 00 180  7.2  8.8 99.00 99.00 99.00 999 1021.2   7.7   7.7   5.6 99.0 99.00
2007 01 01 09 15 180  6.2  8.2 99.00 99.00 99.00 999 1020.9   7.7   7.7   5.8 99.0 99.00
2007 01 01 09 23 190  6.2  8.8  0.50  3.00 99.00 999 1020.9   8.1   7.8   6.2 99.0 99.00
2007 01 01 09 45 200  7.2  8.8 99.00 99.00 99.00 999 1020.7   8.3   7.8   6.3 99.0 99.00
2007 01 01 10 00 200  6.7  8.2 99.00 99.00 99.00 999 1020.6   8.3   7.8   6.4 99.0 99.00
2007 01 01 10 15 210  6.2  7.7 99.00 99.00 99.00 999 1020.7   8.4   7.8   6.6 99.0 99.00
2007 01 01 10 23 200  5.7  7.2  0.50  3.00 99.00 999 1020.3   8.3   7.8   6.7 99.0 99.00
2007 01 01 10 45 180  6.2  7.7 99.00 99.00 99.00 999 1019.9   8.4   7.8   6.9 99.0 99.00
2007 01 01 11 00 180  7.2  9.3 99.00 99.00 99.00 999 1019.6   8.5   7.8   6.9 99.0 99.00
2007 01 01 11 15 180  7.2  8.8 99.00 99.00 99.00 999 1019.4   8.5   7.8   7.1 99.0 99.00
2007 01 01 11 23 180  7.7  9.3  0.50  3.00 99.00 999 1018.9   8.4   7.8   7.3 99.0 99.00
2007 01 01 11 45 180  7.7  9.8 99.00 99.00 99.00 999 1018.5   8.4   7.8   7.6 99.0 99.00
2007 01 01 12 00 180  8.2 10.3 99.00 99.00 99.00 999 1018.2   8.6   7.8   7.9 99.0 99.00
2007 01 01 12 15 190  8.8 10.8 99.00 99.00 99.00 999 1017.8   8.8   7.8   8.3 99.0 99.00
2007 01 01 12 23 190  9.3 11.8  0.50  3.00 99.00 999 1017.2   9.0   7.8   8.5 99.0 99.00
2007 01 01 12 45 190  9.8 11.8 99.00 99.00 99.00 999 1016.8   9.2   7.8   8.8 99.0 99.00
2007 01 01 13 00 190  9.8 11.8 99.00 99.00 99.00 999 1016.6   9.5   7.9   8.9 99.0 99.00
2007 01 01 13 15 190  9.8 13.4 99.00 99.00 99.00 999 1016.3   9.7   7.9   9.1 99.0 99.00
2007 01 01 13 23 200 10.3 17.5  0.80  3.00 99.00 999 1016.4   9.8   8.0   9.3 99.0 99.00
2007 01 01 13 45 200 10.3 13.4 99.00 99.00 99.00 999 1016.2   9.9   8.0   9.4 99.0 99.00
2007 01 01 14 00 200  8.8 10.8 99.00 99.00 99.00 999 1016.1   9.8   8.0   9.4 99.0 99.00
2007 01 01 14 15 200  7.7 10.3 99.00 99.00 99.00 999 1016.1   9.9   8.0   9.5 99.0 99.00
2007 01 01 14 23 200  7.2 11.3  0.80  4.00 99.00 999 1015.9  10.3   8.0  10.0 99.0 99.00
2007 01 01 14 45 200  6.2  7.7 99.00 99.00 99.00 999 1015.4  10.3   8.0  10.0 99.0 99.00
2007 01 01 15 00 200  7.7 11.3 99.00 99.00 99.00 999 1014.8  10.6   8.0  10.2 99.0 99.00
2007 01 01 15 15 200  9.8 13.4 99.00 99.00 99.00 999 1013.9  11.0   8.0  10.6 99.0 99.00
2007 01 01 15 23 210 10.8 14.9  0.80  4.00 99.00 999 1013.1  11.4   8.0  10.8 99.0 99.00
2007 01 01 15 45 210 12.4 20.6 99.00 99.00 99.00 999 1012.7  11.9   7.9  11.0 99.0 99.00
2007 01 01 16 00 230 10.8 14.4 99.00 99.00 99.00 999 1013.0  12.1   7.9  11.0 99.0 99.00
2007 01 01 16 15 320  4.6  9.8 99.00 99.00 99.00 999 1013.7  11.1   7.9  10.2 99.0 99.00
2007 01 01 16 23 270  7.2 10.8  0.90  4.00 99.00 999 1013.1  12.0   8.0  11.3 99.0 99.00
2007 01 01 16 45 310  2.6  6.2 99.00 99.00 99.00 999 1012.9  11.1   8.0  10.5 99.0 99.00
2007 01 01 17 00 320  2.1  3.6 99.00 99.00 99.00 999 1012.6  10.8   8.0  10.3 99.0 99.00
2007 01 01 17 15 350  1.0  2.1 99.00 99.00 99.00 999 1012.4  10.8   8.0  10.4 99.0 99.00
2007 01 01 17 23  40  0.5  1.5  0.80  4.00 99.00 999 1011.9  10.8   8.0  10.5 99.0 99.00
2007 01 01 17 45 260  1.0  3.6 99.00 99.00 99.00 999 1011.6  11.4   8.0  11.2 99.0 99.00
2007 01 01 18 00 240  3.1  5.1 99.00 99.00 99.00 999 1011.2  11.4   8.0  11.1 99.0 99.00
2007 01 01 18 15 240  2.6  4.6 99.00 99.00 99.00 999 1010.8  11.2   8.0  11.0 99.0 99.00
2007 01 01 18 23 250  3.6  5.1  0.40  3.00 99.00 999 1010.4  11.5   8.0  11.3 99.0 99.00
2007 01 01 18 45 240  4.6  6.7 99.00 99.00 99.00 999 1009.9  11.4   8.1  11.3 99.0 99.00
2007 01 01 19 00 240  4.6  5.7 99.00 99.00 99.00 999 1009.8  10.9   8.1  10.7 99.0 99.00
2007 01 01 19 15 240  5.7  6.7 99.00 99.00 99.00 999 1009.5  11.0   8.0  10.8 99.0 99.00
2007 01 01 19 23 230  5.7  7.2  0.30  7.00 99.00 999 1009.3  10.9   8.0  10.7 99.0 99.00
2007 01 01 19 45 220  7.2  8.8 99.00 99.00 99.00 999 1008.7  11.0   8.0  10.8 99.0 99.00
2007 01 01 20 00 220  7.2  8.2 99.00 99.00 99.00 999 1008.7  11.1   7.9  11.0 99.0 99.00
2007 01 01 20 15 230  6.2  7.2 99.00 99.00 99.00 999 1008.7  11.0   7.9  10.8 99.0 99.00
2007 01 01 20 23 230  5.7  6.7  0.50  3.00 99.00 999 1008.6  10.8   7.9  10.7 99.0 99.00
2007 01 01 20 45 230  6.2  7.2 99.00 99.00 99.00 999 1008.1  10.9   7.9  10.7 99.0 99.00
2007 01 01 21 00 230  6.7  9.8 99.00 99.00 99.00 999 1008.0  10.9   7.9  10.8 99.0 99.00
2007 01 01 21 15 230  8.2 10.8 99.00 99.00 99.00 999 1007.4  11.4   7.9  11.3 99.0 99.00
2007 01 01 21 23 210  7.2  8.2  0.50  3.00 99.00 999 1006.4  11.1   7.9  11.0 99.0 99.00
2007 01 01 21 45 230  6.7  8.2 99.00 99.00 99.00 999 1007.0  11.0   7.9  10.9 99.0 99.00
2007 01 01 22 00 220  7.7  9.3 99.00 99.00 99.00 999 1006.3  11.0   7.9  10.9 99.0 99.00
2007 01 01 22 15 220  7.7  9.3 99.00 99.00 99.00 999 1006.1  11.2   7.9  11.1 99.0 99.00
2007 01 01 22 23 240  5.1  8.2  0.50  3.00 99.00 999 1006.5  10.9   7.9  10.8 99.0 99.00
2007 01 01 22 45 300  2.6  4.6 99.00 99.00 99.00 999 1006.6  10.5   7.9  10.4 99.0 99.00
2007 01 01 23 00 310  2.6  4.6 99.00 99.00 99.00 999 1006.4  10.8   7.9  10.7 99.0 99.00
2007 01 01 23 15 320  2.1  4.1 99.00 99.00 99.00 999 1006.1  10.7   7.9  10.6 99.0 99.00
2007 01 01 23 23 270  2.6  4.6  0.40  3.00 99.00 999 1006.7  10.0   7.9   9.9 99.0 99.00
2007 01 01 23 45 330  2.6  5.7 99.00 99.00 99.00 999 1006.4   9.8   7.9   9.7 99.0 99.00
2007 01 02 00 00 310  2.1  3.1 99.00 99.00 99.00 999 1005.9  10.1   7.9  10.0 99.0 99.00
2007 01 02 00 15 260  3.1  3.6 99.00 99.00 99.00 999 1005.8  10.4   7.9  10.3 99.0 99.00
2007 01 02 00 23 240  3.1  5.1  0.30  3.00 99.00 999 1005.5  10.4   7.9  10.4 99.0 99.00
2007 01 02 00 45 280  3.1  5.7 99.00 99.00 99.00 999 1005.5  10.4   7.9  10.4 99.0 99.00
2007 01 02 01 00 280  3.1  4.1 99.00 99.00 99.00 999 1005.7  10.1   7.9  10.0 99.0 99.00
2007 01 02 01 15 250  2.6  3.6 99.00 99.00 99.00 999 1005.5   9.5   7.9   9.5 99.0 99.00
2007 01 02 01 23 250  2.6  3.1  0.30  3.00 99.00 999 1005.5   9.4   7.9   9.4 99.0 99.00
2007 01 02 01 45 280  4.1  6.7 99.00 99.00 99.00 999 1005.6   9.9   7.9   9.9 99.0 99.00
2007 01 02 02 00 320  5.1  6.7 99.00 99.00 99.00 999 1005.3   9.8   7.9   9.8 99.0 99.00
2007 01 02 02 15 290  6.2  8.8 99.00 99.00 99.00 999 1005.7   9.7   7.9   9.7 99.0 99.00
2007 01 02 02 23 300  3.6  6.7  0.20 99.00 99.00 999 1003.9   9.4   7.9   9.4 99.0 99.00
2007 01 02 02 45 320  6.7  8.8 99.00 99.00 99.00 999 1004.7   9.4   7.9   9.4 99.0 99.00
2007 01 02 03 00 340  5.1  6.2 99.00 99.00 99.00 999 1004.4   8.9   7.9   8.9 99.0 99.00
2007 01 02 03 15 340  5.7  6.7 99.00 99.00 99.00 999 1004.6   8.6   7.9   8.6 99.0 99.00
2007 01 02 03 23 340  6.2  7.2  0.30  2.00 99.00 999 1004.9   8.4   7.9   8.4 99.0 99.00
2007 01 02 03 45 340  7.2  8.8 99.00 99.00 99.00 999 1005.4   8.2   7.9   8.2 99.0 99.00
2007 01 02 04 00 340  6.7  8.2 99.00 99.00 99.00 999 1005.7   8.0   7.9   7.9 99.0 99.00
2007 01 02 04 15 340  6.2  7.2 99.00 99.00 99.00 999 1005.7   8.0   7.9   7.8 99.0 99.00
2007 01 02 04 23 350  5.7  7.2  0.40  3.00 99.00 999 1005.5   7.8   7.9   7.5 99.0 99.00
2007 01 02 04 45 360  6.2  8.2 99.00 99.00 99.00 999 1005.8   7.9   7.9   7.6 99.0 99.00
2007 01 02 05 00 350  7.7  9.8 99.00 99.00 99.00 999 1005.8   8.6   7.9   7.4 99.0 99.00
2007 01 02 05 15 350  8.2 10.3 99.00 99.00 99.00 999 1006.1   8.6   7.9   6.5 99.0 99.00
2007 01 02 05 23 350  8.8 10.8  0.50  2.00 99.00 999 1006.3   8.6   7.9   6.1 99.0 99.00
2007 01 02 05 45 350  7.7  9.8 99.00 99.00 99.00 999 1006.4   8.6   7.9   5.9 99.0 99.00
2007 01 02 06 00 340  6.2  7.7 99.00 99.00 99.00 999 1006.5   8.5   7.9   6.0 99.0 99.00
2007 01 02 06 15 340  6.2  7.7 99.00 99.00 99.00 999 1006.6   8.5   7.9   6.0 99.0 99.00
2007 01 02 06 23 330  6.2  7.2  0.50  3.00 99.00 999 1006.8   8.5   7.9   6.1 99.0 99.00
2007 01 02 06 45 320  7.7 10.3 99.00 99.00 99.00 999 1007.3   8.8   7.9   5.6 99.0 99.00
2007 01 02 07 00 320  7.2  9.3 99.00 99.00 99.00 999 1007.8   8.7   7.9   5.8 99.0 99.00
2007 01 02 07 15 320  6.2  7.7 99.00 99.00 99.00 999 1007.9   8.6   7.9   6.1 99.0 99.00
2007 01 02 07 23 320  6.2  7.7  0.40  2.00 99.00 999 1008.0   8.7   7.8   5.9 99.0 99.00
2007 01 02 07 45 310  6.7  8.8 99.00 99.00 99.00 999 1008.3   8.6   7.8   5.9 99.0 99.00
2007 01 02 08 00 310  7.2  8.2 99.00 99.00 99.00 999 1008.5   8.6   7.8   5.9 99.0 99.00
2007 01 02 08 15 310  6.7  8.2 99.00 99.00 99.00 999 1008.6   8.5   7.8   5.9 99.0 99.00
2007 01 02 08 23 310  5.1  6.7  0.50  3.00 99.00 999 1008.7   8.4   7.8   6.1 99.0 99.00
2007 01 02 08 45 310  4.6  6.2 99.00 99.00 99.00 999 1008.6   8.4   7.8   6.2 99.0 99.00
2007 01 02 09 00 310  5.1  6.2 99.00 99.00 99.00 999 1008.7   8.3   7.8   6.2 99.0 99.00
2007 01 02 09 15 300  5.7  7.7 99.00 99.00 99.00 999 1008.8   8.3   7.8   6.1 99.0 99.00
2007 01 02 09 23 300  7.2  9.3  0.40  3.00 99.00 999 1009.0   8.3   7.8   5.9 99.0 99.00
2007 01 02 09 45 300  8.2 10.3 99.00 99.00 99.00 999 1008.9   8.3   7.8   5.5 99.0 99.00
2007 01 02 10 00 300  9.8 12.4 99.00 99.00 99.00 999 1009.1   8.5   7.8   4.8 99.0 99.00
2007 01 02 10 15 300  8.8 10.8 99.00 99.00 99.00 999 1009.5   8.4   7.8   4.8 99.0 99.00
2007 01 02 10 23 300  9.3 11.8  0.50  3.00 99.00 999 1009.9   8.3   7.8   4.6 99.0 99.00
2007 01 02 10 45 300  9.8 12.9 99.00 99.00 99.00 999 1010.4   8.3   7.8   4.4 99.0 99.00
2007 01 02 11 00 300  9.8 12.9 99.00 99.00 99.00 999 1010.6   8.2   7.8   4.0 99.0 99.00
2007 01 02 11 15 300  9.8 11.8 99.00 99.00 99.00 999 1010.9   8.1   7.8   3.8 99.0 99.00
2007 01 02 11 23 310  9.3 11.3  0.80  4.00 99.00 999 1011.2   7.9   7.8   3.7 99.0 99.00
2007 01 02 11 45 310  9.3 11.8 99.00 99.00 99.00 999 1011.5   7.9   7.8   3.6 99.0 99.00
2007 01 02 12 00 310  9.8 12.9 99.00 99.00 99.00 999 1011.8   7.8   7.8   3.7 99.0 99.00
2007 01 02 12 15 310 10.3 12.9 99.00 99.00 99.00 999 1012.2   7.8   7.8   3.4 99.0 99.00
2007 01 02 12 23 310 10.3 12.9  0.90  5.00 99.00 999 1012.8   7.7   7.8   3.2 99.0 99.00
2007 01 02 12 45 320 11.3 14.9 99.00 99.00 99.00 999 1013.2   7.7   7.8   3.0 99.0 99.00
2007 01 02 13 00 320 11.3 14.4 99.00 99.00 99.00 999 1013.6   7.6   7.8   2.5 99.0 99.00
2007 01 02 13 15 320 11.3 13.9 99.00 99.00 99.00 999 1014.2   7.4   7.8   2.1 99.0 99.00
2007 01 02 13 23 330 11.8 14.9  1.00  5.00 99.00 999 1014.7   7.3   7.8   0.9 99.0 99.00
2007 01 02 13 45 330 11.3 16.5 99.00 99.00 99.00 999 1014.9   7.2   7.8   0.3 99.0 99.00
2007 01 02 14 00 320 11.3 16.0 99.00 99.00 99.00 999 1015.3   7.2   7.8  -0.2 99.0 99.00
2007 01 02 14 15 330 12.4 18.0 99.00 99.00 99.00 999 1015.8   7.0   7.8  -0.6 99.0 99.00
2007 01 02 14 23 330 12.4 16.0  1.10  5.00 99.00 999 1016.4   6.8   7.8  -0.2 99.0 99.00
2007 01 02 14 45 320 11.8 14.9 99.00 99.00 99.00 999 1016.7   6.6   7.8   0.0 99.0 99.00
2007 01 02 15 00 330 10.8 14.4 99.00 99.00 99.00 999 1017.1   6.5   7.8  -0.1 99.0 99.00
2007 01 02 15 15 330 11.8 16.5 99.00 99.00 99.00 999 1017.2   6.6   7.8  -0.7 99.0 99.00
2007 01 02 15 23 330 11.3 16.0  1.10  5.00 99.00 999 1017.6   6.6   7.9  -0.8 99.0 99.00
2007 01 02 15 45 330  9.8 12.9 99.00 99.00 99.00 999 1018.0   6.7   7.9  -1.1 99.0 99.00
2007 01 02 16 00 340  9.3 12.4 99.00 99.00 99.00 999 1018.3   6.9   7.9  -1.0 99.0 99.00
2007 01 02 16 15 340  9.8 11.8 99.00 99.00 99.00 999 1018.3   6.9   7.8  -1.9 99.0 99.00
2007 01 02 16 23 340  9.3 11.8  1.10  4.00 99.00 999 1018.4   6.9   7.9  -2.2 99.0 99.00
2007 01 02 16 45 330  9.3 11.8 99.00 99.00 99.00 999 1018.4   7.1   7.9  -2.4 99.0 99.00
2007 01 02 17 00 330  9.8 14.4 99.00 99.00 99.00 999 1018.4   7.2   7.9  -2.5 99.0 99.00
2007 01 02 17 15 330 10.8 13.9 99.00 99.00 99.00 999 1018.4   7.3   7.8  -2.2 99.0 99.00
2007 01 02 17 23 330 11.8 14.9  1.10  4.00 99.00 999 1018.4   7.5   7.8  -3.0 99.0 99.00
2007 01 02 17 45 330 10.3 13.9 99.00 99.00 99.00 999 1018.5   7.7   7.9  -3.1 99.0 99.00
2007 01 02 18 00 330 10.3 12.9 99.00 99.00 99.00 999 1018.6   7.8   7.8  -2.3 99.0 99.00
