YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00  57  6.1  6.8  0.88 10.00  5.65 999 1010.1   1.0   6.1   0.8 99.0 99.00
2006 01 01 01 00  70  7.5  7.8  0.94 10.00  5.00 999 1009.5   1.1   6.1   0.9 99.0 99.00
2006 01 01 02 00  65  7.8  8.5  0.92 10.00  4.61 999 1008.6   1.1   6.1   1.0 99.0 99.00
2006 01 01 03 00  60  7.5  8.7  0.92  9.09  4.27 999 1007.9   1.6   6.1   1.4 99.0 99.00
2006 01 01 04 00  51  8.0  8.6  0.87 10.00  4.14 999 1008.0   1.4   6.1   1.2 99.0 99.00
2006 01 01 05 00  46  8.4  9.1  0.87 10.00  4.08 999 1007.5   1.5   6.0   1.3 99.0 99.00
2006 01 01 06 00  49  6.2  7.1  0.82  9.09  4.00 999 1008.4   1.7   5.9   1.5 99.0 99.00
2006 01 01 07 00   4  5.5  6.0  0.73  9.09  4.78 999 1009.5   1.0   6.0   0.9 99.0 99.00
2006 01 01 08 00   7  7.3  7.8  0.64  9.09  4.45 999 1009.9   1.1   6.0   0.9 99.0 99.00
2006 01 01 09 00  21  8.1  9.1  0.71  8.33  4.14 999 1010.3   1.3   6.0   1.1 99.0 99.00
2006 01 01 10 00  26  9.3 10.8  0.78  3.45  3.75 999 1011.1   1.4   6.1   0.8 99.0 99.00
2006 01 01 11 00  17  7.3  8.2  0.76  9.09  3.99 999 1012.3   1.2   6.1   0.5 99.0 99.00
2006 01 01 12 00   3  7.9  8.8  0.68  9.09  4.01 999 1013.2   1.2   6.1   0.3 99.0 99.00
2006 01 01 13 00 335  6.6  7.4  0.65  9.09  3.99 999 1014.5   0.6   6.1   0.1 99.0 99.00
2006 01 01 14 00 342  5.6  6.2  0.64  9.09  3.67 999 1015.8   0.1   6.1  -0.3 99.0 99.00
2006 01 01 15 00 352  6.2  6.9  0.57  8.33  3.55 999 1016.4   0.3   6.2  -0.3 99.0 99.00
2006 01 01 16 00   5  5.7  6.5  0.51  9.09  3.75 999 1016.4   0.7   6.2   0.0 99.0 99.00
2006 01 01 17 00 344  5.0  5.7  0.46  9.09  3.94 999 1016.9   0.8   6.0   0.0 99.0 99.00
2006 01 01 18 00 349  4.5  5.0  0.45  9.09  4.45 999 1017.2   0.9   6.0   0.1 99.0 99.00
2006 01 01 19 00   6  3.1  3.6  0.44  8.33  4.83 999 1017.8   1.2   6.0   0.3 99.0 99.00
2006 01 01 20 00   4  2.2  2.8  0.46  9.09  4.85 999 1018.4   0.6   6.0  -0.1 99.0 99.00
2006 01 01 21 00   6  3.1  3.7  0.45  8.33  5.24 999 1019.3   0.3   5.7  -0.2 99.0 99.00
