#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00   0  0.0  0.0 99.00 99.00 99.00 999 1029.1   2.6   7.4 999.0 99.0 99.00
2007 01 01 01 00 211  3.3  3.8 99.00 99.00 99.00 999 1029.2   3.2   7.2 999.0 99.0 99.00
2007 01 01 02 00 175  3.4  4.3 99.00 99.00 99.00 999 1028.8   3.4   7.1 999.0 99.0 99.00
2007 01 01 03 00 173  4.8  5.1 99.00 99.00 99.00 999 1028.7   3.8   7.1 999.0 99.0 99.00
2007 01 01 04 00 172  5.1  5.6 99.00 99.00 99.00 999 1028.2   4.0   7.6 999.0 99.0 99.00
2007 01 01 05 00 147  5.5  6.9 99.00 99.00 99.00 999 1027.0   4.1   8.0 999.0 99.0 99.00
2007 01 01 06 00 143  5.9  7.2 99.00 99.00 99.00 999 1026.0   4.7   8.1 999.0 99.0 99.00
2007 01 01 07 00 138  7.5  8.0 99.00 99.00 99.00 999 1025.2   5.2   8.1 999.0 99.0 99.00
2007 01 01 08 00 150  8.0  8.2 99.00 99.00 99.00 999 1024.5   5.7   8.1 999.0 99.0 99.00
2007 01 01 09 00 159  8.9  9.6 99.00 99.00 99.00 999 1023.7   6.4   8.0 999.0 99.0 99.00
2007 01 01 10 00 158  9.0  9.9 99.00 99.00 99.00 999 1022.8   6.8   7.8 999.0 99.0 99.00
2007 01 01 11 00 147 11.0 12.3 99.00 99.00 99.00 999 1021.4   6.1   7.9 999.0 99.0 99.00
2007 01 01 12 00 148 10.6 11.5 99.00 99.00 99.00 999 1021.5   6.0   7.5 999.0 99.0 99.00
2007 01 01 13 00 142 12.1 13.3 99.00 99.00 99.00 999 1020.4   6.4   7.4 999.0 99.0 99.00
2007 01 01 14 00 139 11.8 13.4 99.00 99.00 99.00 999 1019.4   6.7   7.7 999.0 99.0 99.00
2007 01 01 15 00 138 10.9 12.0 99.00 99.00 99.00 999 1018.4   7.4   7.8 999.0 99.0 99.00
2007 01 01 16 00 141 11.4 12.8 99.00 99.00 99.00 999 1015.9   8.3   8.0 999.0 99.0 99.00
2007 01 01 17 00 156 14.6 15.5 99.00 99.00 99.00 999 1012.8   9.6   8.0 999.0 99.0 99.00
2007 01 01 19 00 163 14.3 15.4 99.00 99.00 99.00 999 1009.5  10.6   7.9 999.0 99.0 99.00
2007 01 01 20 00 172 15.1 99.0 99.00 99.00 99.00 999 9999.0  11.2 999.0 999.0 99.0 99.00
2007 01 01 21 00 179 12.3 13.1 99.00 99.00 99.00 999 1008.3  11.5   7.9 999.0 99.0 99.00
2007 01 01 22 00 170 15.3 16.5 99.00 99.00 99.00 999 1007.0  12.1   8.1 999.0 99.0 99.00
2007 01 01 23 00 154 11.3 12.5 99.00 99.00 99.00 999 1007.6  11.1   8.1 999.0 99.0 99.00
2007 01 02 00 00 160 11.6 12.9 99.00 99.00 99.00 999 1005.3  11.2   8.1 999.0 99.0 99.00
2007 01 02 01 00 164 12.3 12.7 99.00 99.00 99.00 999 1002.7  11.5   8.1 999.0 99.0 99.00
2007 01 02 02 00 244  9.2 11.2 99.00 99.00 99.00 999 1004.1  11.4   8.1 999.0 99.0 99.00
2007 01 02 03 00 220  9.8 10.2 99.00 99.00 99.00 999 1004.4  11.2   8.1 999.0 99.0 99.00
2007 01 02 04 00 189  8.2  8.9 99.00 99.00 99.00 999 1003.0  10.4   7.9 999.0 99.0 99.00
2007 01 02 05 00 316  8.8  9.5 99.00 99.00 99.00 999 1003.8   8.4   7.7 999.0 99.0 99.00
2007 01 02 06 00 325  6.6  7.6 99.00 99.00 99.00 999 1003.8   6.9   7.8 999.0 99.0 99.00
2007 01 02 07 00 322  6.3  7.6 99.00 99.00 99.00 999 1004.4   6.5   8.1 999.0 99.0 99.00
2007 01 02 08 00 293  4.8  5.2 99.00 99.00 99.00 999 1005.3   6.5   8.1 999.0 99.0 99.00
2007 01 02 09 00 292  8.5  9.3 99.00 99.00 99.00 999 1005.5   7.8   8.1 999.0 99.0 99.00
2007 01 02 10 00 291 10.9 12.0 99.00 99.00 99.00 999 1006.4   7.7   8.2 999.0 99.0 99.00
2007 01 02 11 00 285 10.9 11.8 99.00 99.00 99.00 999 1007.5   7.4   8.1 999.0 99.0 99.00
2007 01 02 12 00 280 12.2 13.3 99.00 99.00 99.00 999 1008.3   7.2   8.1 999.0 99.0 99.00
2007 01 02 13 00 285 10.0 11.7 99.00 99.00 99.00 999 1010.1   8.3   8.1 999.0 99.0 99.00
2007 01 02 14 00 290 14.3 16.2 99.00 99.00 99.00 999 1011.4   8.5   8.0 999.0 99.0 99.00
2007 01 02 15 00 297 12.9 13.8 99.00 99.00 99.00 999 1013.3   8.5   7.9 999.0 99.0 99.00
2007 01 02 16 00 304 13.6 14.8 99.00 99.00 99.00 999 1014.2   8.5   7.7 999.0 99.0 99.00
2007 01 02 17 00 307 12.2 14.2 99.00 99.00 99.00 999 1015.0   8.4   7.8 999.0 99.0 99.00
2007 01 02 18 00 313 11.8 13.2 99.00 99.00 99.00 999 1015.6   8.6   7.8 999.0 99.0 99.00
2007 01 02 19 00 307 10.2 11.4 99.00 99.00 99.00 999 1016.5   8.9   7.8 999.0 99.0 99.00
2007 01 02 20 00 287  9.8 10.8 99.00 99.00 99.00 999 1018.2   8.7   7.7 999.0 99.0 99.00
2007 01 02 21 00 292 10.2 11.1 99.00 99.00 99.00 999 1019.4   8.1   7.7 999.0 99.0 99.00
2007 01 02 22 00 286  9.6 10.2 99.00 99.00 99.00 999 1020.8   6.9   7.8 999.0 99.0 99.00
2007 01 02 23 00 289 10.1 11.3 99.00 99.00 99.00 999 1022.1   6.4   7.7 999.0 99.0 99.00
2007 01 03 00 00 294  8.2  9.1 99.00 99.00 99.00 999 1023.4   5.8   7.7 999.0 99.0 99.00
2007 01 03 01 00 289  9.7 11.1 99.00 99.00 99.00 999 1024.2   5.1   7.9 999.0 99.0 99.00
2007 01 03 02 00 288  9.5 10.8 99.00 99.00 99.00 999 1025.1   4.8   7.8 999.0 99.0 99.00
2007 01 03 03 00 280  9.7 10.5 99.00 99.00 99.00 999 1025.7   4.9   7.7 999.0 99.0 99.00
2007 01 03 04 00 279  9.0  9.9 99.00 99.00 99.00 999 1026.2   4.9   7.7 999.0 99.0 99.00
2007 01 03 05 00 274  9.8 10.5 99.00 99.00 99.00 999 1026.3   4.7   7.6 999.0 99.0 99.00
2007 01 03 06 00 281  9.5 10.8 99.00 99.00 99.00 999 1026.7   4.5   7.4 999.0 99.0 99.00
2007 01 03 07 00 282  8.4  9.2 99.00 99.00 99.00 999 1027.6   4.2   7.3 999.0 99.0 99.00
2007 01 03 08 00 270  8.0  8.8 99.00 99.00 99.00 999 1027.7   4.0   7.4 999.0 99.0 99.00
2007 01 03 09 00 271  8.3  9.5 99.00 99.00 99.00 999 1027.6   4.3   7.4 999.0 99.0 99.00
2007 01 03 10 00 267  8.1  8.6 99.00 99.00 99.00 999 1028.0   4.2   7.5 999.0 99.0 99.00
2007 01 03 11 00 258  7.2  7.6 99.00 99.00 99.00 999 1028.2   4.7   7.6 999.0 99.0 99.00
2007 01 03 12 00 245  6.7  7.3 99.00 99.00 99.00 999 1028.4   5.0   7.6 999.0 99.0 99.00
2007 01 03 13 00 244  6.6  7.5 99.00 99.00 99.00 999 1028.2   7.2   7.7 999.0 99.0 99.00
2007 01 03 14 00 234  7.5  8.2 99.00 99.00 99.00 999 1028.1   7.6   7.6 999.0 99.0 99.00
2007 01 03 15 00 225  8.1  8.2 99.00 99.00 99.00 999 1027.6   6.7   7.5 999.0 99.0 99.00
2007 01 03 16 00 221  6.5  7.4 99.00 99.00 99.00 999 1026.7   7.2   7.5 999.0 99.0 99.00
2007 01 03 17 00 229 10.0 10.9 99.00 99.00 99.00 999 1025.6   8.6   7.4 999.0 99.0 99.00
2007 01 03 18 00 222 12.7 13.4 99.00 99.00 99.00 999 1024.1  10.0   7.3 999.0 99.0 99.00
2007 01 03 19 00 224 13.5 14.4 99.00 99.00 99.00 999 1023.6   9.9   7.1 999.0 99.0 99.00
2007 01 03 20 00 225 14.3 15.2 99.00 99.00 99.00 999 1022.7   9.5   7.2 999.0 99.0 99.00
2007 01 03 21 00 227 13.3 14.6 99.00 99.00 99.00 999 1022.7   8.9   7.4 999.0 99.0 99.00
2007 01 03 22 00 221 13.9 15.2 99.00 99.00 99.00 999 1021.9   8.4   7.5 999.0 99.0 99.00
2007 01 03 23 00 224 12.5 13.6 99.00 99.00 99.00 999 1022.1   8.7   7.5 999.0 99.0 99.00
