#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 303 10.5 11.5 99.00 99.00 99.00 999 1018.0   4.4   5.9  -2.8 99.0 99.00
2008 01 01 01 00 284  9.6 10.6 99.00 99.00 99.00 999 1019.7   4.2   5.9  -3.7 99.0 99.00
2008 01 01 02 00 290 10.0 11.2 99.00 99.00 99.00 999 1019.9   4.0   5.9  -3.6 99.0 99.00
2008 01 01 03 00 288  7.7  8.5 99.00 99.00 99.00 999 1020.1   3.7   5.9  -3.5 99.0 99.00
2008 01 01 04 00 297  6.6  7.5 99.00 99.00 99.00 999 1020.3   3.5   5.9  -4.3 99.0 99.00
2008 01 01 05 00 285  5.4  5.8 99.00 99.00 99.00 999 1020.9   3.6   5.8  -4.2 99.0 99.00
2008 01 01 06 00 266  4.6  5.0 99.00 99.00 99.00 999 1020.9   3.6   5.8  -3.4 99.0 99.00
2008 01 01 07 00 268  3.8  4.1 99.00 99.00 99.00 999 1021.2   3.7   5.8  -3.6 99.0 99.00
2008 01 01 08 00 284  3.3  3.6 99.00 99.00 99.00 999 1021.5   3.9   5.7  -3.6 99.0 99.00
2008 01 01 09 00 262  4.2  4.4 99.00 99.00 99.00 999 1021.9   4.1   5.7  -2.4 99.0 99.00
2008 01 01 10 00  49  2.6  2.8 99.00 99.00 99.00 999 1021.2   2.6   5.6  -1.0 99.0 99.00
2008 01 01 11 00  85  3.3  3.5 99.00 99.00 99.00 999 1021.0   3.1   5.5  -0.8 99.0 99.00
2008 01 01 12 00 102  6.4  6.9 99.00 99.00 99.00 999 1020.0   3.2   5.5  -0.7 99.0 99.00
2008 01 01 13 00  99  9.2  9.6 99.00 99.00 99.00 999 1019.0   3.4   5.5  -0.5 99.0 99.00
2008 01 01 14 00 114 11.4 12.5 99.00 99.00 99.00 999 1017.0   4.5   5.3   1.1 99.0 99.00
2008 01 01 15 00 122 12.9 14.4 99.00 99.00 99.00 999 1015.1   4.9   5.4   1.3 99.0 99.00
2008 01 01 16 00 119 14.0 15.2 99.00 99.00 99.00 999 1012.8   4.7   5.6   1.4 99.0 99.00
2008 01 01 17 00 124 13.7 15.2 99.00 99.00 99.00 999 1009.8   5.1   5.6   2.9 99.0 99.00
2008 01 01 18 00 135 15.4 16.9 99.00 99.00 99.00 999 1006.6   6.3   5.7   4.2 99.0 99.00
2008 01 01 19 00 152 16.7 19.6 99.00 99.00 99.00 999 1004.4   7.7   5.7   5.3 99.0 99.00
2008 01 01 20 00 144 12.8 14.4 99.00 99.00 99.00 999 1004.3   7.1   5.7   6.5 99.0 99.00
2008 01 01 21 00 152  7.8  8.5 99.00 99.00 99.00 999 1003.5   7.5   5.7   7.0 99.0 99.00
2008 01 01 22 00 301  7.0  8.1 99.00 99.00 99.00 999 1003.0   7.5   5.7   7.2 99.0 99.00
2008 01 01 23 00 326  4.0  4.2 99.00 99.00 99.00 999 1002.9   6.6   5.7   5.9 99.0 99.00
2008 01 02 00 00 290  6.7  7.2 99.00 99.00 99.00 999 1003.2   4.4   5.6   4.0 99.0 99.00
2008 01 02 01 00 290  8.3  9.5 99.00 99.00 99.00 999 1003.3   4.3   5.5   2.6 99.0 99.00
2008 01 02 02 00 275  9.6 10.7 99.00 99.00 99.00 999 1003.1   3.5   5.4   2.1 99.0 99.00
2008 01 02 03 00 286 11.2 12.2 99.00 99.00 99.00 999 1002.8   2.6   5.5   0.2 99.0 99.00
2008 01 02 04 00 264 11.8 12.8 99.00 99.00 99.00 999 1002.5   3.3   5.7   0.0 99.0 99.00
2008 01 02 05 00 261 13.3 14.5 99.00 99.00 99.00 999 1002.0   3.7   5.7  -1.5 99.0 99.00
2008 01 02 06 00 266 14.1 15.6 99.00 99.00 99.00 999 1001.7   3.6   5.7  -2.1 99.0 99.00
2008 01 02 07 00 267 16.3 17.7 99.00 99.00 99.00 999 1001.6   3.6   5.8  -2.9 99.0 99.00
2008 01 02 08 00 261 15.1 16.4 99.00 99.00 99.00 999 1001.5   3.4   5.7  -2.4 99.0 99.00
2008 01 02 09 00 270 13.1 15.3 99.00 99.00 99.00 999 1002.0   2.8   5.7  -2.1 99.0 99.00
2008 01 02 11 00 282 10.1 11.1 99.00 99.00 99.00 999 1003.1   2.2   5.6  -1.6 99.0 99.00
2008 01 02 12 00 279 11.5 13.0 99.00 99.00 99.00 999 1003.7   2.1   5.5  -1.6 99.0 99.00
2008 01 02 13 00 298 10.6 11.3 99.00 99.00 99.00 999 1004.7   1.9   5.5  -1.3 99.0 99.00
2008 01 02 14 00 318  9.1 10.7 99.00 99.00 99.00 999 1005.5   1.5   5.4  -1.3 99.0 99.00
2008 01 02 15 00 335  7.9  8.7 99.00 99.00 99.00 999 1006.4   1.4   5.3  -2.5 99.0 99.00
2008 01 02 16 00 352  7.8  8.4 99.00 99.00 99.00 999 1006.6   0.9   5.3  -2.9 99.0 99.00
2008 01 02 17 00 341  7.7  8.7 99.00 99.00 99.00 999 1006.7   0.5   5.3  -2.6 99.0 99.00
2008 01 02 18 00 335  9.1  9.6 99.00 99.00 99.00 999 1007.1  -0.2   5.4  -3.4 99.0 99.00
2008 01 02 19 00 331 11.3 12.0 99.00 99.00 99.00 999 1007.8  -0.8   5.4  -4.1 99.0 99.00
2008 01 02 20 00 336 10.8 11.9 99.00 99.00 99.00 999 1009.0  -1.3   5.4  -4.3 99.0 99.00
2008 01 02 21 00 346 10.7 12.0 99.00 99.00 99.00 999 1010.4  -0.7   5.4  -5.3 99.0 99.00
2008 01 02 22 00 342 15.0 16.5 99.00 99.00 99.00 999 1011.6  -1.2   5.4  -8.2 99.0 99.00
2008 01 02 23 00 329 13.4 15.4 99.00 99.00 99.00 999 1013.3  -2.4   5.3  -8.2 99.0 99.00
2008 01 03 00 00 332 16.3 17.5 99.00 99.00 99.00 999 1014.7  -3.8   5.2 -10.3 99.0 99.00
2008 01 03 01 00 345 14.3 16.2 99.00 99.00 99.00 999 1016.0  -5.2   5.2 -11.9 99.0 99.00
2008 01 03 02 00 341 14.0 17.0 99.00 99.00 99.00 999 1017.2  -6.5   5.2 -12.3 99.0 99.00
2008 01 03 03 00 336 13.7 15.0 99.00 99.00 99.00 999 1018.3  -7.2   5.2 -13.6 99.0 99.00
2008 01 03 04 00 353 14.0 16.3 99.00 99.00 99.00 999 1019.8  -8.5   5.2 -16.1 99.0 99.00
2008 01 03 05 00 355 13.8 16.0 99.00 99.00 99.00 999 1021.0  -9.7   5.2 -17.1 99.0 99.00
2008 01 03 06 00 354 13.3 15.0 99.00 99.00 99.00 999 1021.8 -10.3   5.2 -17.3 99.0 99.00
2008 01 03 07 00 339 12.6 16.8 99.00 99.00 99.00 999 1023.1 -10.3   5.2 -16.0 99.0 99.00
2008 01 03 08 00 333 13.9 15.2 99.00 99.00 99.00 999 1023.9 -10.7   5.1 -17.0 99.0 99.00
2008 01 03 09 00 335 12.9 15.5 99.00 99.00 99.00 999 1024.6 -10.4   5.1 -15.4 99.0 99.00
2008 01 03 10 00 340 14.3 17.9 99.00 99.00 99.00 999 1025.7 -11.2   5.1 -16.8 99.0 99.00
2008 01 03 11 00 340 13.6 16.0 99.00 99.00 99.00 999 1026.9 -11.7   5.0 -16.9 99.0 99.00
