#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 00 318  9.5 10.5 99.00 99.00 99.00 999 1017.6 999.0 999.0 999.0 99.0 99.00
2016 01 01 01 00 311  8.0  9.3 99.00 99.00 99.00 999 1017.6 999.0 999.0 999.0 99.0 99.00
2016 01 01 02 00 306  7.1  8.4 99.00 99.00 99.00 999 1017.6 999.0 999.0 999.0 99.0 99.00
2016 01 01 03 00 300  7.4  8.6 99.00 99.00 99.00 999 1017.8 999.0 999.0 999.0 99.0 99.00
2016 01 01 04 00 305  9.0 10.1 99.00 99.00 99.00 999 1017.8 999.0 999.0 999.0 99.0 99.00
2016 01 01 05 00 307  8.1  9.8 99.00 99.00 99.00 999 1017.2 999.0 999.0 999.0 99.0 99.00
2016 01 01 06 00 312  8.8  9.5 99.00 99.00 99.00 999 1017.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 07 00 294  9.1  9.9 99.00 99.00 99.00 999 1016.9 999.0 999.0 999.0 99.0 99.00
2016 01 01 08 00 292  9.5 11.2 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2016 01 01 09 00 289  9.6 10.8 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2016 01 01 10 00 281 11.0 12.4 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2016 01 01 11 00 292 11.7 15.2 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2016 01 01 12 00 292 11.6 13.1 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2016 01 01 13 00 286  9.4 11.0 99.00 99.00 99.00 999 1016.5 999.0 999.0 999.0 99.0 99.00
2016 01 01 14 00 282  8.2  8.9 99.00 99.00 99.00 999 1017.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 15 00 289  8.1  8.9 99.00 99.00 99.00 999 1016.5 999.0 999.0 999.0 99.0 99.00
2016 01 01 16 00 288  7.0  7.8 99.00 99.00 99.00 999 1016.1 999.0 999.0 999.0 99.0 99.00
2016 01 01 17 00 283  7.3  8.0 99.00 99.00 99.00 999 1014.8 999.0 999.0 999.0 99.0 99.00
2016 01 01 18 00 264  6.6  7.1 99.00 99.00 99.00 999 1013.9 999.0 999.0 999.0 99.0 99.00
2016 01 01 19 00 296  5.4  7.0 99.00 99.00 99.00 999 1013.4 999.0 999.0 999.0 99.0 99.00
2016 01 01 20 00 286  4.9  5.5 99.00 99.00 99.00 999 1013.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 21 00 298  6.2  6.7 99.00 99.00 99.00 999 1012.9 999.0 999.0 999.0 99.0 99.00
2016 01 01 22 00 325  5.7  6.6 99.00 99.00 99.00 999 1012.7 999.0 999.0 999.0 99.0 99.00
2016 01 01 23 00 297  8.7  9.8 99.00 99.00 99.00 999 1013.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 00 00 271 11.3 13.2 99.00 99.00 99.00 999 1013.3 999.0 999.0 999.0 99.0 99.00
2016 01 02 01 00 290 11.0 12.1 99.00 99.00 99.00 999 1013.4 999.0 999.0 999.0 99.0 99.00
2016 01 02 02 00 286 13.0 14.3 99.00 99.00 99.00 999 1013.6 999.0 999.0 999.0 99.0 99.00
2016 01 02 03 00 288 13.6 15.4 99.00 99.00 99.00 999 1013.4 999.0 999.0 999.0 99.0 99.00
2016 01 02 04 00 289 11.9 14.2 99.00 99.00 99.00 999 1014.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 05 00 299 10.6 12.4 99.00 99.00 99.00 999 1014.3 999.0 999.0 999.0 99.0 99.00
2016 01 02 06 00 294 11.5 13.7 99.00 99.00 99.00 999 1014.3 999.0 999.0 999.0 99.0 99.00
2016 01 02 07 00 288 13.2 14.8 99.00 99.00 99.00 999 1014.5 999.0 999.0 999.0 99.0 99.00
2016 01 02 08 00 301 14.9 17.8 99.00 99.00 99.00 999 1014.4 999.0 999.0 999.0 99.0 99.00
2016 01 02 09 00 294 12.2 13.4 99.00 99.00 99.00 999 1014.6 999.0 999.0 999.0 99.0 99.00
2016 01 02 10 00 290 12.8 14.1 99.00 99.00 99.00 999 1014.8 999.0 999.0 999.0 99.0 99.00
