#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 10 01 00 00 112  6.6  7.2 99.00 99.00 99.00 999 1025.0  14.0 999.0 999.0 99.0 99.00
2019 10 01 01 00 115  4.9  5.5 99.00 99.00 99.00 999 1024.9  14.0 999.0 999.0 99.0 99.00
2019 10 01 02 00 110  4.5  4.9 99.00 99.00 99.00 999 1025.2  14.2 999.0 999.0 99.0 99.00
2019 10 01 03 00 124  5.3  5.8 99.00 99.00 99.00 999 1025.4  14.4 999.0 999.0 99.0 99.00
2019 10 01 04 00 131  6.3  6.8 99.00 99.00 99.00 999 1024.1  14.3 999.0 999.0 99.0 99.00
2019 10 01 05 00 156  6.0  6.7 99.00 99.00 99.00 999 1023.8  14.4 999.0 999.0 99.0 99.00
2019 10 01 06 00 165  5.6  6.1 99.00 99.00 99.00 999 1023.2  14.6 999.0 999.0 99.0 99.00
2019 10 01 07 00 180  6.2  6.9 99.00 99.00 99.00 999 1022.3  14.8 999.0 999.0 99.0 99.00
2019 10 01 08 00 191  4.8  6.3 99.00 99.00 99.00 999 1022.4  15.0 999.0 999.0 99.0 99.00
2019 10 01 09 00 191  5.7  7.3 99.00 99.00 99.00 999 1021.8  15.4 999.0 999.0 99.0 99.00
2019 10 01 10 00 195  8.0  8.6 99.00 99.00 99.00 999 1020.9  15.8 999.0 999.0 99.0 99.00
2019 10 01 11 00 208  6.6  7.2 99.00 99.00 99.00 999 1021.3  16.3 999.0 999.0 99.0 99.00
2019 10 01 12 00 209  8.8  9.3 99.00 99.00 99.00 999 1020.5  16.8 999.0 999.0 99.0 99.00
2019 10 01 13 00 222  7.6  8.1 99.00 99.00 99.00 999 1020.7  17.3 999.0 999.0 99.0 99.00
2019 10 01 14 00 227  8.1  8.7 99.00 99.00 99.00 999 1020.4  17.8 999.0 999.0 99.0 99.00
2019 10 01 15 00 221  9.5 10.1 99.00 99.00 99.00 999 1019.4  18.1 999.0 999.0 99.0 99.00
2019 10 01 16 00 217  8.6 10.0 99.00 99.00 99.00 999 1018.8  18.4 999.0 999.0 99.0 99.00
